Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Oct-26-2023 14_48_41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
12.5680, 1048409.93, 0.14, ovf, 0.00, ovf, 0.00, -535771104.00, 0.05, 0.00, ovf, 322959200.00, ovf, 0.13, ovf, -258047.98, ovf, 3799231488.0000, ovf, ovf, nan, ovf, 0.0146, 0.0070, ovf, 1
12.9200, 524204.96, 0.12, ovf, 0.00, ovf, 0.00, -267885552.00, 0.13, 0.00, ovf, 161479600.00, ovf, 0.11, ovf, -129024.00, ovf, 1899615744.0000, ovf, ovf, nan, ovf, 0.0354, 0.0223, ovf, 1
13.2720, 262102.48, 0.16, ovf, 0.00, ovf, -0.05, -133942776.00, 0.06, 0.00, ovf, 80739800.00, ovf, 0.11, ovf, -64512.00, ovf, 949807872.0000, ovf, ovf, nan, ovf, 0.0490, 0.0314, ovf, 1
13.6240, 131051.25, 0.08, ovf, 0.00, ovf, -0.02, -66971388.00, 0.03, 0.00, ovf, 40369900.00, ovf, 0.10, ovf, -32256.00, ovf, 474903936.0000, ovf, ovf, nan, ovf, 0.0557, 0.0157, ovf, 1
13.9760, 65525.62, 0.04, ovf, 0.05, ovf, 0.04, -33485694.00, 0.07, 0.00, ovf, 20184950.00, ovf, 0.10, ovf, -16128.00, ovf, 237451968.0000, ovf, ovf, nan, ovf, 0.0279, 0.0313, ovf, 1
14.3280, 32762.81, 0.07, ovf, 0.03, ovf, 0.02, -16742847.00, 0.08, 0.00, ovf, 10092475.00, ovf, 0.11, ovf, -8064.00, ovf, 118725984.0000, ovf, ovf, nan, ovf, 0.0139, 0.0156, ovf, 1
14.6790, 16381.41, 0.04, ovf, 0.06, ovf, -0.04, -8371423.50, 0.09, 0.00, ovf, 5046237.50, ovf, 0.10, ovf, -4032.00, ovf, 59362992.0000, ovf, ovf, nan, ovf, 0.0351, 0.0266, ovf, 1
15.0310, 8190.70, 0.07, ovf, 0.08, ovf, -0.02, -4185711.75, 0.15, 0.00, ovf, 2523118.75, ovf, 0.10, ovf, -2016.00, ovf, 29681496.0000, ovf, ovf, nan, ovf, 0.0175, 0.0133, ovf, 1
15.3830, 4095.35, 0.08, ovf, 0.04, ovf, -0.01, -2092855.87, 0.07, 0.00, ovf, 1261559.37, ovf, 0.09, ovf, -1008.00, ovf, 14840748.0000, ovf, ovf, nan, ovf, 0.0322, 0.0223, ovf, 1
15.7340, 2047.68, 0.04, ovf, 0.02, ovf, -0.06, -1046427.93, 0.09, 0.00, ovf, 630779.75, ovf, 0.09, ovf, -504.00, ovf, 7420374.0000, ovf, ovf, nan, ovf, 0.0411, 0.0111, ovf, 1
16.0850, 1023.84, 0.07, ovf, 0.01, ovf, -0.08, -523213.96, 0.04, 0.00, ovf, 315389.93, ovf, 0.08, ovf, -252.00, ovf, 3710187.0000, ovf, ovf, nan, ovf, 0.0206, 0.0056, ovf, 1
16.4350, 511.92, 0.04, ovf, 0.06, ovf, -0.04, -261606.98, 0.02, 0.00, ovf, 157695.03, ovf, 0.09, ovf, -126.00, ovf, 1855093.5000, ovf, ovf, nan, ovf, 0.0103, 0.0028, ovf, 1
16.7860, 255.96, 0.07, ovf, 0.03, ovf, -0.02, -130803.50, 0.01, 0.00, ovf, 78847.58, ovf, 0.08, ovf, -63.00, ovf, 927546.7500, ovf, ovf, nan, ovf, 0.0051, 0.0170, ovf, 1
17.1370, 127.98, 0.13, ovf, 0.06, ovf, -0.06, -65401.75, 0.01, 0.00, ovf, 39423.85, ovf, 0.09, ovf, -31.50, ovf, 463773.3750, ovf, ovf, nan, ovf, 0.0026, 0.0288, ovf, 1
17.4880, 63.99, 0.17, ovf, 0.03, ovf, 0.02, -32700.87, 0.05, 0.00, ovf, 19712.00, ovf, 0.09, ovf, -15.75, ovf, 231886.6875, ovf, ovf, nan, ovf, 0.0013, 0.0332, ovf, 1
