Voltage Range: ,0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,10080,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
79.1910, 0.67, 1.83, 0.67, 1.88, 0.77, 0.09, 0.48, 1.87, 0.53, 2.18, 0.67, -0.00, 0.47, 2.14, 0.67, 1.78, 7.9986, 8.2042, 0.4667, 5.8956, 7.5597, -0.0001, 6.6227, 7.7853, 1
82.1240, 0.69, 1.77, 0.67, 1.86, 0.79, 0.05, 0.48, 1.86, 0.53, 2.21, 0.65, -0.02, 0.47, 2.16, 0.67, 1.70, 7.9465, 8.1144, 0.2507, 5.8583, 7.6849, -0.0703, 6.6700, 7.4209, 1
85.0590, 0.71, 1.71, 0.69, 1.81, 0.82, 0.07, 0.48, 1.81, 0.53, 2.19, 0.63, -0.00, 0.47, 2.18, 0.67, 1.73, 7.9494, 8.1403, 0.3975, 5.6933, 7.5797, -0.0122, 6.7295, 7.5789, 1
87.9930, 0.70, 1.79, 0.67, 1.87, 0.84, 0.11, 0.48, 1.77, 0.53, 2.18, 0.64, -0.00, 0.47, 2.20, 0.67, 1.76, 8.0976, 8.1673, 0.6157, 5.5388, 7.5622, -0.0020, 6.7909, 7.6782, 1
90.9260, 0.69, 1.81, 0.65, 1.93, 0.82, 0.09, 0.48, 1.79, 0.53, 2.13, 0.62, 0.02, 0.47, 2.22, 0.67, 1.79, 8.1817, 8.1623, 0.4589, 5.6396, 7.3860, 0.0668, 6.8526, 7.8405, 1
93.8600, 0.69, 1.79, 0.63, 1.99, 0.80, 0.08, 0.48, 1.80, 0.53, 2.16, 0.64, 0.04, 0.47, 2.19, 0.67, 1.77, 8.0765, 8.1290, 0.4207, 5.6726, 7.4722, 0.1507, 6.7598, 7.7217, 1
96.7930, 0.69, 1.81, 0.62, 1.98, 0.82, 0.08, 0.48, 1.83, 0.53, 2.24, 0.66, 0.01, 0.47, 2.15, 0.67, 1.78, 8.2011, 8.0381, 0.4258, 5.7832, 7.7755, 0.0251, 6.6414, 7.7748, 1
99.7270, 0.69, 1.79, 0.62, 1.93, 0.80, 0.08, 0.48, 1.86, 0.53, 2.22, 0.69, 0.00, 0.47, 2.09, 0.67, 1.73, 8.0714, 7.8288, 0.4158, 5.8459, 7.7105, 0.0042, 6.4670, 7.5650, 1
102.6600, 0.67, 1.83, 0.64, 1.84, 0.82, 0.06, 0.48, 1.88, 0.53, 2.19, 0.71, 0.00, 0.47, 2.10, 0.69, 1.67, 8.0372, 7.6774, 0.3354, 5.8855, 7.5841, 0.0007, 6.4895, 7.5275, 1
105.5940, 0.65, 1.89, 0.63, 1.92, 0.84, 0.09, 0.48, 1.78, 0.53, 2.20, 0.73, 0.00, 0.47, 2.10, 0.72, 1.61, 8.0173, 7.8364, 0.5142, 5.5854, 7.6208, 0.0001, 6.4932, 7.5032, 1
108.5280, 0.65, 1.90, 0.60, 1.95, 0.86, 0.03, 0.48, 1.76, 0.53, 2.17, 0.76, -0.05, 0.47, 2.12, 0.74, 1.60, 8.0061, 7.6842, 0.1800, 5.5427, 7.5113, -0.2484, 6.5454, 7.7075, 1
111.4620, 0.65, 1.90, 0.62, 1.94, 0.89, 0.11, 0.48, 1.76, 0.53, 2.14, 0.78, -0.04, 0.47, 2.14, 0.74, 1.58, 8.0122, 7.8376, 0.6112, 5.5445, 7.4353, -0.2122, 6.6056, 7.6608, 1
