43.6740, 0.76, 2.62, 0.77, 2.27, 0.77, 2.37, 0.04, 2.10, 0.67, 2.43, 0.77, 2.49, 0.77, 2.87, 0.77, 2.46, 14.1706, 12.3596, 12.9753, nan, 11.5162, 13.6810, 15.6018, 13.5216, 0
47.0350, 0.76, 2.59, 0.68, 2.71, 0.77, 2.41, 0.04, 2.11, 0.67, 2.43, 0.77, 2.44, 0.77, 2.86, 0.77, 2.46, 14.0601, 12.9937, 13.1574, nan, 11.5175, 13.4526, 15.5653, 13.5253, 0
50.3960, 0.76, 2.61, 0.77, 2.33, 0.77, 2.40, 0.04, 2.09, 0.67, 2.43, 0.77, 2.45, 0.77, 2.85, 0.77, 2.46, 14.1147, 12.6571, 13.1242, nan, 11.5302, 13.4819, 15.4978, 13.5257, 0
53.7570, 0.76, 2.61, 0.68, 2.71, 0.77, 2.41, 0.04, 2.10, 0.67, 2.42, 0.77, 2.48, 0.77, 2.87, 0.77, 2.45, 14.1330, 13.0137, 13.1709, nan, 11.4819, 13.6282, 15.5905, 13.4757, 0
57.1170, 0.76, 2.61, 0.77, 2.41, 0.77, 2.41, 0.04, 2.09, 0.67, 2.44, 0.77, 2.46, 0.77, 2.86, 0.77, 2.49, 14.1213, 13.1163, 13.1814, nan, 11.5513, 13.5475, 15.5496, 13.6776, 0
60.4780, 0.76, 2.60, 0.78, 2.46, 0.77, 2.42, 0.04, 2.09, 0.67, 2.45, 0.77, 2.48, 0.77, 2.86, 0.77, 2.47, 14.0712, 13.5763, 13.2258, nan, 11.6068, 13.6276, 15.5458, 13.5895, 0
63.8390, 0.76, 2.62, 0.78, 2.50, 0.77, 2.43, 0.04, 2.08, 0.67, 2.46, 0.77, 2.49, 0.77, 2.86, 0.77, 2.45, 14.1921, 13.7884, 13.2795, nan, 11.6612, 13.6911, 15.5455, 13.4815, 0
67.2000, 0.76, 2.61, 0.78, 2.47, 0.77, 2.41, 0.04, 2.07, 0.67, 2.43, 0.77, 2.47, 0.77, 2.86, 0.77, 2.45, 14.1401, 13.6572, 13.1850, nan, 11.5370, 13.5907, 15.5454, 13.4717, 0
70.5600, 0.76, 2.62, 0.78, 2.49, 0.77, 2.43, 0.04, 2.09, 0.67, 2.44, 0.77, 2.47, 0.77, 2.86, 0.77, 2.48, 14.1646, 13.7455, 13.2758, nan, 11.5685, 13.5878, 15.5454, 13.6207, 0
73.9210, 0.76, 2.60, 0.78, 2.46, 0.77, 2.41, 0.04, 2.05, 0.67, 2.42, 0.77, 2.48, 0.87, 2.59, 0.77, 2.52, 14.0949, 13.6028, 13.1846, nan, 11.4854, 13.6313, 15.8818, 13.8342, 0
77.2820, 0.76, 2.62, 0.78, 2.48, 0.77, 2.40, 0.04, 2.07, 0.67, 2.43, 0.78, 2.46, 0.87, 2.64, 0.77, 2.51, 14.1738, 13.6966, 13.1267, nan, 11.5210, 13.5543, 16.3643, 13.8036, 0
80.6430, 0.76, 2.63, 0.78, 2.49, 0.77, 2.43, 0.04, 2.08, 0.67, 2.42, 0.77, 2.48, 0.88, 2.65, 0.77, 2.53, 14.2304, 13.7423, 13.2643, nan, 11.4811, 13.6348, 16.4647, 13.9008, 0
84.0040, 0.76, 2.59, 0.78, 2.48, 0.77, 2.41, 0.04, 2.06, 0.67, 2.43, 0.77, 2.47, 0.88, 2.67, 0.77, 2.47, 14.0322, 13.6964, 13.1899, nan, 11.5269, 13.5856, 16.5867, 13.5597, 0
87.3640, 0.76, 2.61, 0.78, 2.53, 0.77, 2.43, 0.04, 2.05, 0.67, 2.43, 0.77, 2.48, 0.88, 2.64, 0.77, 2.50, 14.1053, 13.9367, 13.2825, nan, 11.5248, 13.6376, 16.4284, 13.7287, 0
90.7250, 0.76, 2.60, 0.78, 2.49, 0.77, 2.42, 0.04, 2.05, 0.67, 2.43, 0.77, 2.47, 0.88, 2.69, 0.77, 2.50, 14.0697, 13.7772, 13.2350, nan, 11.5308, 13.5989, 16.6965, 13.7440, 0
94.0860, 0.76, 2.61, 0.78, 2.44, 0.77, 2.43, 0.04, 2.06, 0.67, 2.44, 0.77, 2.47, 0.88, 2.68, 0.77, 2.52, 14.1357, 13.4299, 13.2803, nan, 11.5620, 13.5889, 16.6644, 13.8454, 0
97.4470, 0.76, 2.62, 0.78, 2.43, 0.77, 2.41, 0.04, 2.05, 0.67, 2.44, 0.77, 2.44, 0.88, 2.68, 0.77, 2.53, 14.1775, 13.4299, 13.1851, nan, 11.5645, 13.4377, 16.6614, 13.9046, 0
100.8070, 0.76, 2.61, 0.78, 2.46, 0.77, 2.42, 0.04, 2.06, 0.67, 2.43, 0.77, 2.46, 0.88, 2.67, 0.77, 2.51, 14.1458, 13.5675, 13.2261, nan, 11.5091, 13.5177, 16.6047, 13.8100, 0
104.1680, 0.76, 2.64, 0.78, 2.47, 0.77, 2.42, 0.04, 2.06, 0.67, 2.43, 0.78, 2.49, 0.88, 2.67, 0.77, 2.49, 14.2907, 13.6302, 13.2298, nan, 11.5294, 13.6942, 16.5994, 13.7080, 0
107.5290, 0.76, 2.59, 0.78, 2.52, 0.77, 2.41, 0.04, 2.04, 0.67, 2.42, 0.77, 2.46, 0.88, 2.68, 0.77, 2.45, 14.0440, 13.9239, 13.1805, nan, 11.4756, 13.5410, 16.6555, 13.4923, 0
110.8900, 0.76, 2.62, 0.78, 2.53, 0.77, 2.41, 0.04, 2.04, 0.67, 2.42, 0.77, 2.45, 0.88, 2.67, 0.77, 2.48, 14.1757, 13.9770, 13.1760, nan, 11.4832, 13.4771, 16.6041, 13.6226, 0
114.2500, 0.76, 2.61, 0.78, 2.50, 0.77, 2.42, 0.04, 2.04, 0.67, 2.43, 0.78, 2.45, 0.88, 2.68, 0.77, 2.48, 14.1255, 13.8313, 13.2253, nan, 11.5145, 13.4900, 16.6560, 13.6344, 0
117.6110, 0.76, 2.61, 0.78, 2.50, 0.77, 2.42, 0.04, 2.04, 0.67, 2.42, 0.77, 2.48, 0.88, 2.66, 0.77, 2.49, 14.1209, 13.8179, 13.2298, nan, 11.4680, 13.6224, 16.5477, 13.6855, 0
120.9720, 0.76, 2.63, 0.78, 2.52, 0.77, 2.42, 0.04, 2.02, 0.67, 2.44, 0.77, 2.44, 0.88, 2.66, 0.77, 2.46, 14.2188, 13.8979, 13.2302, nan, 11.5686, 13.4345, 16.5378, 13.5401, 0
124.3330, 0.76, 2.62, 0.78, 2.49, 0.77, 2.40, 0.04, 2.01, 0.67, 2.43, 0.77, 2.45, 0.88, 2.68, 0.77, 2.50, 14.1715, 13.7609, 13.1308, nan, 11.5223, 13.4740, 16.6499, 13.7269, 0
127.6950, 0.76, 2.63, 0.78, 2.54, 0.77, 2.41, 0.04, 2.04, 0.67, 2.43, 0.77, 2.48, 0.88, 2.67, 0.77, 2.51, 14.2435, 14.0059, 13.1715, nan, 11.5306, 13.6210, 16.6037, 13.7870, 0
131.0550, 0.76, 2.61, 0.78, 2.52, 0.77, 2.42, 0.04, 2.03, 0.67, 2.43, 0.77, 2.47, 0.88, 2.67, 0.77, 2.46, 14.1518, 13.9342, 13.2249, nan, 11.5064, 13.5909, 16.5994, 13.5494, 0
134.4160, 0.76, 2.60, 0.78, 2.51, 0.77, 2.42, 0.04, 2.03, 0.67, 2.43, 0.78, 2.46, 0.88, 2.66, 0.77, 2.44, 14.1009, 13.8582, 13.2298, nan, 11.5229, 13.5506, 16.5426, 13.4278, 0
137.7770, 0.76, 2.59, 0.78, 2.53, 0.77, 2.40, 0.04, 2.01, 0.67, 2.43, 0.77, 2.47, 0.88, 2.68, 0.77, 2.44, 14.0199, 13.9580, 13.1308, nan, 11.5054, 13.5779, 16.6504, 13.4168, 0
141.1380, 0.76, 2.59, 0.78, 2.45, 0.77, 2.42, 0.04, 2.03, 0.67, 2.42, 0.77, 2.47, 0.88, 2.69, 0.77, 2.45, 14.0196, 13.5091, 13.2212, nan, 11.4797, 13.5870, 16.7167, 13.4659, 0
144.4980, 0.76, 2.56, 0.78, 2.40, 0.77, 2.39, 0.04, 2.00, 0.67, 2.42, 0.77, 2.46, 0.88, 2.65, 0.77, 2.46, 13.8717, 13.2804, 13.0803, nan, 11.4773, 13.5312, 16.4967, 13.5203, 0
147.8590, 0.76, 2.57, 0.78, 2.45, 0.77, 2.36, 0.04, 2.00, 0.67, 2.43, 0.77, 2.46, 0.88, 2.70, 0.77, 2.44, 13.9346, 13.4918, 12.9184, nan, 11.5265, 13.5262, 16.7593, 13.4190, 0
151.2200, 0.76, 2.55, 0.78, 2.52, 0.77, 2.41, 0.04, 2.01, 0.67, 2.42, 0.77, 2.45, 0.88, 2.70, 0.77, 2.43, 13.8213, 13.9378, 13.1522, nan, 11.4628, 13.4758, 16.7831, 13.3661, 0
154.5810, 0.76, 2.57, 0.78, 2.46, 0.77, 2.40, 0.04, 2.00, 0.67, 2.42, 0.77, 2.44, 0.88, 2.66, 0.77, 2.44, 13.9098, 13.5575, 13.1238, nan, 11.4820, 13.4213, 16.5592, 13.4113, 0
157.9420, 0.76, 2.58, 0.78, 2.42, 0.77, 2.39, 0.04, 2.00, 0.67, 2.41, 0.77, 2.42, 0.88, 2.66, 0.77, 2.42, 13.9670, 13.3912, 13.0715, nan, 11.4346, 13.3288, 16.5389, 13.3154, 0
161.3030, 0.76, 2.59, 0.78, 2.47, 0.77, 2.38, 0.04, 1.99, 0.67, 2.43, 0.77, 2.44, 0.88, 2.68, 0.77, 2.42, 14.0283, 13.6205, 13.0170, nan, 11.4974, 13.4079, 16.6501, 13.3067, 0
164.6640, 0.76, 2.58, 0.78, 2.51, 0.77, 2.40, 0.04, 2.00, 0.67, 2.44, 0.77, 2.45, 0.88, 2.67, 0.77, 2.41, 13.9772, 13.8427, 13.1115, nan, 11.5715, 13.4776, 16.6036, 13.2559, 0
168.0250, 0.76, 2.60, 0.78, 2.48, 0.77, 2.42, 0.04, 2.01, 0.67, 2.42, 0.77, 2.43, 0.88, 2.67, 0.77, 2.42, 14.0717, 13.6800, 13.2195, nan, 11.4854, 13.3779, 16.5994, 13.3013, 0
171.3860, 0.76, 2.60, 0.78, 2.53, 0.77, 2.39, 0.04, 2.01, 0.67, 2.42, 0.77, 2.42, 0.88, 2.68, 0.77, 2.42, 14.0937, 13.9480, 13.0802, nan, 11.4778, 13.3124, 16.6555, 13.3055, 0
174.7460, 0.76, 2.57, 0.78, 2.52, 0.77, 2.39, 0.04, 2.00, 0.67, 2.42, 0.78, 2.42, 0.88, 2.67, 0.77, 2.43, 13.9343, 13.9159, 13.0675, nan, 11.4772, 13.3252, 16.6041, 13.3558, 0
178.1070, 0.76, 2.59, 0.78, 2.42, 0.77, 2.39, 0.04, 1.98, 0.67, 2.43, 0.77, 2.44, 0.88, 2.66, 0.77, 2.42, 13.9982, 13.3613, 13.0664, nan, 11.5140, 13.4138, 16.5430, 13.3104, 0
181.4690, 0.76, 2.58, 0.78, 2.32, 0.77, 2.37, 0.04, 1.99, 0.67, 2.41, 0.77, 2.43, 0.88, 2.66, 0.77, 2.39, 13.9680, 12.8089, 12.9669, nan, 11.4435, 13.3719, 16.5374, 13.1563, 0
184.8300, 0.76, 2.58, 0.68, 2.63, 0.77, 2.39, 0.04, 1.98, 0.67, 2.42, 0.77, 2.46, 0.88, 2.68, 0.77, 2.42, 13.9789, 12.6463, 13.0572, nan, 11.4740, 13.5183, 16.6499, 13.2985, 0
188.1900, 0.76, 2.59, 0.77, 2.34, 0.77, 2.38, 0.04, 1.98, 0.67, 2.42, 0.78, 2.45, 0.88, 2.66, 0.77, 2.43, 14.0091, 12.7379, 13.0157, nan, 11.4643, 13.4941, 16.5471, 13.3551, 0
191.5510, 0.76, 2.59, 0.78, 2.41, 0.77, 2.38, 0.04, 2.00, 0.67, 2.42, 0.77, 2.43, 0.88, 2.66, 0.77, 2.43, 14.0187, 13.3042, 13.0120, nan, 11.4822, 13.3729, 16.5378, 13.3603, 0
194.9120, 0.76, 2.58, 0.68, 2.74, 0.77, 2.37, 0.04, 2.00, 0.67, 2.43, 0.77, 2.43, 0.88, 2.68, 0.77, 2.40, 13.9767, 13.1659, 12.9620, nan, 11.5207, 13.3681, 16.6500, 13.2108, 0
198.2730, 0.76, 2.56, 0.77, 2.44, 0.77, 2.39, 0.04, 1.99, 0.67, 2.42, 0.77, 2.41, 0.88, 2.67, 0.77, 2.42, 13.8743, 13.2744, 13.0568, nan, 11.4623, 13.2615, 16.6037, 13.2972, 0
201.6340, 0.76, 2.56, 0.78, 2.49, 0.77, 2.39, 0.04, 1.99, 0.67, 2.42, 0.77, 2.44, 0.88, 2.65, 0.77, 2.42, 13.8520, 13.7413, 13.0654, nan, 11.4758, 13.4017, 16.4864, 13.3051, 0
204.9950, 0.76, 2.60, 0.78, 2.45, 0.77, 2.39, 0.04, 1.97, 0.67, 2.42, 0.77, 2.42, 0.88, 2.66, 0.77, 2.37, 14.0536, 13.5524, 13.0662, nan, 11.4832, 13.3145, 16.5323, 13.0559, 0
208.3560, 0.76, 2.60, 0.78, 2.43, 0.77, 2.35, 0.04, 1.99, 0.67, 2.42, 0.77, 2.43, 0.88, 2.65, 0.77, 2.41, 14.0786, 13.4160, 12.8675, nan, 11.4777, 13.3691, 16.4799, 13.2394, 0
211.7170, 0.76, 2.56, 0.78, 2.45, 0.77, 2.38, 0.04, 1.98, 0.67, 2.42, 0.77, 2.43, 0.88, 2.64, 0.77, 2.40, 13.8708, 13.5291, 12.9985, nan, 11.4771, 13.3678, 16.4255, 13.1999, 0
215.0780, 0.76, 2.57, 0.78, 2.51, 0.77, 2.38, 0.04, 1.99, 0.67, 2.42, 0.77, 2.42, 0.88, 2.65, 0.77, 2.42, 13.9141, 13.8778, 13.0104, nan, 11.4771, 13.3177, 16.4702, 13.2897, 0
218.4390, 0.76, 2.56, 0.78, 2.52, 0.77, 2.35, 0.04, 1.98, 0.67, 2.42, 0.77, 2.44, 0.88, 2.65, 0.77, 2.47, 13.8757, 13.9095, 12.8623, nan, 11.4833, 13.4069, 16.4743, 13.5607, 0
221.8000, 0.76, 2.56, 0.78, 2.45, 0.77, 2.40, 0.04, 1.98, 0.67, 2.42, 0.77, 2.44, 0.88, 2.64, 0.77, 2.40, 13.8654, 13.5174, 13.0974, nan, 11.4652, 13.4215, 16.4181, 13.1791, 0
225.1610, 0.76, 2.58, 0.78, 2.47, 0.77, 2.39, 0.04, 1.98, 0.67, 2.42, 0.77, 2.44, 0.88, 2.65, 0.77, 2.43, 13.9565, 13.6071, 13.0691, nan, 11.4635, 13.4291, 16.4696, 13.3442, 0
228.5220, 0.76, 2.55, 0.78, 2.46, 0.77, 2.36, 0.04, 2.00, 0.67, 2.41, 0.77, 2.46, 0.88, 2.65, 0.77, 2.42, 13.8174, 13.5840, 12.9174, nan, 11.4327, 13.5169, 16.4743, 13.3093, 0
231.8820, 0.76, 2.57, 0.78, 2.44, 0.77, 2.38, 0.04, 1.97, 0.67, 2.39, 0.78, 2.44, 0.88, 2.64, 0.77, 2.44, 13.9033, 13.4816, 13.0030, nan, 11.3313, 13.4437, 16.4181, 13.4120, 0
235.2440, 0.76, 2.55, 0.78, 2.33, 0.77, 2.38, 0.04, 1.99, 0.67, 2.42, 0.77, 2.42, 0.88, 2.65, 0.77, 2.41, 13.8123, 12.8403, 13.0108, nan, 11.4764, 13.3184, 16.4696, 13.2655, 0
238.6050, 0.76, 2.57, 0.78, 2.32, 0.77, 2.39, 0.04, 1.98, 0.67, 2.42, 0.77, 2.42, 0.88, 2.65, 0.77, 2.43, 13.9023, 12.8297, 13.0612, nan, 11.4771, 13.3070, 16.4742, 13.3522, 0
241.9660, 0.76, 2.58, 0.78, 2.27, 0.77, 2.35, 0.04, 1.99, 0.67, 2.42, 0.77, 2.42, 0.88, 2.64, 0.77, 2.44, 13.9533, 12.5040, 12.8670, nan, 11.4709, 13.3122, 16.4181, 13.4100, 0
245.3270, 0.76, 2.60, 0.68, 2.52, 0.77, 2.38, 0.04, 1.99, 0.67, 2.41, 0.77, 2.41, 0.88, 2.66, 0.77, 2.40, 14.0690, 12.1439, 13.0047, nan, 11.4336, 13.2564, 16.5261, 13.2154, 0
248.6870, 0.76, 2.54, 0.77, 2.15, 0.77, 2.37, 0.04, 1.98, 0.67, 2.40, 0.77, 2.42, 0.88, 2.67, 0.77, 2.38, 13.7353, 11.6835, 12.9673, nan, 11.3743, 13.3076, 16.5924, 13.0977, 0
252.0480, 0.76, 2.58, 0.68, 2.50, 0.77, 2.37, 0.04, 1.98, 0.67, 2.42, 0.77, 2.44, 0.88, 2.66, 0.77, 2.40, 13.9441, 12.0131, 12.9579, nan, 11.4615, 13.4125, 16.5419, 13.1870, 0
255.4100, 0.76, 2.55, 0.77, 2.18, 0.77, 2.35, 0.04, 1.97, 0.67, 2.40, 0.77, 2.42, 0.88, 2.64, 0.77, 2.36, 13.8222, 11.8832, 12.8576, nan, 11.3771, 13.3155, 16.4243, 12.9952, 0
258.7710, 0.76, 2.56, 0.68, 2.50, 0.77, 2.35, 0.04, 1.99, 0.67, 2.42, 0.77, 2.42, 0.88, 2.67, 0.77, 2.38, 13.8540, 12.0011, 12.8485, nan, 11.4618, 13.3130, 16.5831, 13.0837, 0
262.1310, 0.76, 2.57, 0.67, 2.46, 0.77, 2.34, 0.04, 1.97, 0.67, 2.42, 0.77, 2.42, 0.88, 2.64, 0.77, 2.33, 13.9063, 11.7099, 12.7980, nan, 11.4757, 13.3127, 16.4349, 12.8359, 0
265.4920, 0.76, 2.56, 0.67, 2.46, 0.77, 2.36, 0.04, 1.97, 0.67, 2.42, 0.77, 2.45, 0.88, 2.65, 0.77, 2.37, 13.8682, 11.6833, 12.8928, nan, 11.4770, 13.4564, 16.4711, 13.0133, 0
268.8530, 0.76, 2.56, 0.67, 2.43, 0.77, 2.35, 0.04, 1.97, 0.67, 2.41, 0.77, 2.43, 0.88, 2.65, 0.77, 2.35, 13.8582, 11.5515, 12.8517, nan, 11.4339, 13.3758, 16.4744, 12.9295, 0
272.2150, 0.76, 2.56, 0.67, 2.54, 0.77, 2.33, 0.04, 1.98, 0.67, 2.41, 0.77, 2.43, 0.88, 2.64, 0.77, 2.30, 13.8635, 12.0508, 12.7486, nan, 11.4425, 13.3750, 16.4182, 12.6720, 0
275.5750, 0.76, 2.56, 0.67, 2.53, 0.77, 2.33, 0.04, 1.98, 0.67, 2.41, 0.77, 2.42, 0.88, 2.64, 0.77, 2.35, 13.8709, 12.0033, 12.7392, nan, 11.4186, 13.3184, 16.4131, 12.8984, 0
278.9360, 0.76, 2.57, 0.77, 2.24, 0.77, 2.35, 0.04, 1.97, 0.67, 2.39, 0.77, 2.42, 0.88, 2.64, 0.77, 2.39, 13.9141, 12.1722, 12.8378, nan, 11.3485, 13.3070, 16.4126, 13.1189, 0
282.2970, 0.76, 2.55, 0.68, 2.55, 0.77, 2.32, 0.04, 1.98, 0.67, 2.42, 0.77, 2.42, 0.88, 2.65, 0.77, 2.37, 13.8195, 12.2229, 12.6976, nan, 11.4654, 13.3122, 16.4691, 13.0390, 0
285.6580, 0.76, 2.57, 0.77, 2.23, 0.77, 2.36, 0.04, 1.97, 0.67, 2.42, 0.77, 2.42, 0.88, 2.66, 0.77, 2.37, 13.9234, 12.1478, 12.8837, nan, 11.4760, 13.3064, 16.5308, 13.0317, 0
289.0190, 0.76, 2.55, 0.68, 2.50, 0.77, 2.35, 0.04, 1.97, 0.67, 2.42, 0.77, 2.42, 0.88, 2.64, 0.77, 2.38, 13.8340, 12.0122, 12.8509, nan, 11.4770, 13.3121, 16.4233, 13.0811, 0
292.3800, 0.76, 2.54, 0.67, 2.64, 0.77, 2.38, 0.04, 1.97, 0.67, 2.41, 0.77, 2.43, 0.88, 2.63, 0.77, 2.34, 13.7631, 12.5306, 13.0033, nan, 11.4280, 13.3626, 16.3570, 12.8856, 0
295.7410, 0.76, 2.54, 0.67, 2.49, 0.77, 2.36, 0.04, 1.96, 0.67, 2.42, 0.78, 2.42, 0.88, 2.63, 0.77, 2.35, 13.7632, 11.8187, 12.9115, nan, 11.4664, 13.3297, 16.3510, 12.9179, 0
299.1020, 0.76, 2.53, 0.67, 2.48, 0.77, 2.35, 0.04, 1.96, 0.67, 2.42, 0.77, 2.42, 0.88, 2.62, 0.77, 2.36, 13.7206, 11.7730, 12.8534, nan, 11.4636, 13.3080, 16.2939, 12.9708, 0
302.4630, 0.76, 2.57, 0.67, 2.41, 0.77, 2.35, 0.04, 1.98, 0.67, 2.42, 0.77, 2.42, 0.88, 2.64, 0.77, 2.34, 13.9139, 11.4177, 12.8541, nan, 11.4634, 13.3060, 16.4018, 12.8696, 0
