Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-09-2023 14_06_33,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
208.0810, 0.76, 1.92, 0.00, -1.91, 0.00, -1.90, -0.00, 0.02, 0.04, 2.12, 0.88, 0.14, 0.66, 2.02, 0.76, 1.87, 10.3803, -0.0026, -0.0026, -0.0000, nan, 0.8747, 9.5009, 10.0496, 0
211.4380, 0.76, 1.89, 0.00, -1.96, 0.00, -1.92, -0.00, 0.06, 0.04, 2.11, 0.98, 0.12, 0.66, 1.98, 0.76, 1.87, 10.2303, -0.0027, -0.0027, -0.0000, nan, 0.8431, 9.3294, 10.0489, 0
214.7960, 0.76, 1.91, 0.00, -1.93, 0.00, -1.90, -0.00, 0.02, 0.04, 2.12, 0.88, 0.13, 0.66, 1.99, 0.76, 1.86, 10.3149, -0.0027, -0.0026, -0.0000, nan, 0.8116, 9.3308, 9.9951, 0
218.1530, 0.76, 1.88, 0.00, -1.93, 0.00, -1.91, -0.00, 0.03, 0.04, 2.11, 0.98, 0.11, 0.66, 2.00, 0.76, 1.87, 10.1752, -0.0027, -0.0026, -0.0000, nan, 0.7738, 9.3993, 10.0342, 0
221.5100, 0.76, 1.89, 0.00, -1.97, 0.00, -1.94, -0.00, 0.00, 0.04, 2.10, 0.88, 0.13, 0.66, 2.02, 0.76, 1.86, 10.2116, -0.0027, -0.0026, -0.0000, nan, 0.8053, 9.4806, 9.9938, 0
224.8680, 0.76, 1.89, 0.00, -1.91, 0.00, -1.92, -0.00, 0.03, 0.04, 2.12, 0.88, 0.13, 0.66, 1.98, 0.76, 1.87, 10.2149, -0.0026, -0.0026, -0.0000, nan, 0.8076, 9.3071, 10.0438, 0
228.2260, 0.76, 1.92, 0.00, -1.95, 0.00, -1.89, -0.00, 0.02, 0.04, 2.12, 0.88, 0.17, 0.66, 2.00, 0.76, 1.84, 10.3626, -0.0027, -0.0026, -0.0000, nan, 1.0345, 9.3819, 9.9018, 0
231.5820, 0.76, 1.91, 0.00, -1.93, 0.00, -1.92, -0.00, 0.02, 0.04, 2.07, 0.88, 0.14, 0.66, 2.00, 0.76, 1.85, 10.3221, -0.0027, -0.0026, -0.0000, nan, 0.8855, 9.3989, 9.9377, 0
234.9400, 0.76, 1.89, 0.00, -1.94, 0.00, -1.92, -0.00, 0.00, 0.04, 2.08, 0.88, 0.19, 0.66, 2.02, 0.76, 1.85, 10.2250, -0.0027, -0.0026, -0.0000, nan, 1.1546, 9.4652, 9.9410, 0
238.2970, 0.76, 1.92, 0.00, -1.96, 0.00, -1.90, -0.00, 0.03, 0.04, 2.10, 0.88, 0.16, 0.66, 1.98, 0.76, 1.87, 10.3635, -0.0026, -0.0026, -0.0000, nan, 1.0095, 9.3210, 10.0390, 0
241.6540, 0.76, 1.91, 0.00, -1.93, 0.00, -1.91, -0.00, 0.01, 0.04, 2.07, 0.88, 0.16, 0.66, 1.99, 0.76, 1.86, 10.3270, -0.0027, -0.0026, -0.0000, nan, 0.9963, 9.3406, 9.9894, 0
