17.5680, 0.03, 1.70, 0.06, 3.30, ovf, 4.02, 0.06, 3.24, 0.07, ovf, ovf, 3.62, 0.11, 3.72, ovf, 0.04, 0.2848, ovf, ovf, ovf, ovf, ovf, ovf, 0.0002, 1
20.4970, 0.03, 1.72, 0.06, 3.28, ovf, 4.02, 0.06, 3.24, 0.07, ovf, ovf, 3.67, 0.11, 3.72, ovf, 0.04, 0.2849, ovf, ovf, ovf, ovf, ovf, ovf, 0.0000, 1
23.4250, 0.03, 1.70, 0.06, 3.26, ovf, 3.99, 0.06, 3.22, 0.07, ovf, ovf, 3.65, 0.11, 3.72, ovf, 0.04, 0.2818, ovf, ovf, ovf, ovf, -2506127104.0000, ovf, 0.0000, 1
26.3560, 0.03, 1.72, 0.06, 3.28, ovf, 4.00, 0.06, 3.22, 0.07, ovf, ovf, 3.61, 0.11, 3.72, ovf, 0.04, 0.2922, ovf, ovf, ovf, ovf, -417687840.0000, ovf, 0.0010, 1
29.2860, 0.03, 1.74, 0.06, 3.26, -1380231424.00, 3.97, 0.06, 3.22, 0.07, ovf, ovf, 3.60, 0.11, 3.70, ovf, 0.02, 0.2965, ovf, ovf, ovf, ovf, -69614640.0000, ovf, 0.0038, 1
32.2170, 0.02, 1.71, 0.06, 3.23, -230038576.00, 3.96, 0.06, 3.14, 0.07, ovf, ovf, 3.52, 0.11, 3.67, ovf, 0.00, 0.2692, -1815037440.0000, ovf, ovf, ovf, -11602441.0000, ovf, 0.0006, 1
35.1490, 0.03, 1.70, 0.06, 3.24, -38339764.00, 3.89, 0.08, 3.12, 0.06, -4237174528.00, 3986296576.00, 3.50, 0.11, 3.66, ovf, 0.02, 0.3532, -302506240.0000, ovf, ovf, ovf, -1933739.2500, ovf, 0.0084, 1
38.0840, 0.06, 1.68, 0.06, 3.24, -6389960.50, 3.85, 0.11, 3.10, 0.07, -706195776.00, 664382784.00, 3.48, 0.11, 3.64, ovf, 0.00, 0.6261, -50417704.0000, ovf, ovf, ovf, -322288.6562, ovf, 0.0014, 1
41.0170, 0.08, 1.70, 0.06, 3.21, -1064993.37, 3.84, 0.13, 3.02, 0.09, -117699296.00, 110730464.00, 3.45, 0.11, 3.61, ovf, 0.02, 0.8997, -8402951.0000, ovf, ovf, ovf, -53713.6250, ovf, 0.0143, 1
43.9500, 0.11, 1.68, 0.06, 3.23, -177498.76, 3.82, 0.16, 2.99, 0.11, -19616550.00, 18455078.00, 3.44, 0.11, 3.60, ovf, 0.04, 1.1546, -1400490.8750, ovf, ovf, ovf, -8951.1123, ovf, 0.0357, 1
46.8840, 0.13, 1.68, 0.06, 3.21, -29583.03, 3.79, 0.18, 2.95, 0.13, -3269423.00, 3075846.25, 3.37, 0.11, 3.60, ovf, 0.04, 1.4159, -233414.1562, ovf, ovf, ovf, -1490.2978, ovf, 0.0445, 1
49.8170, 0.15, 1.65, 0.06, 3.15, -4930.41, 3.73, 0.20, 2.91, 0.16, -544901.25, 512641.03, 3.36, 0.11, 3.55, ovf, 0.02, 1.6439, -38901.3007, ovf, ovf, ovf, -246.3766, ovf, 0.0288, 1
52.7500, 0.18, 1.66, 0.08, 3.13, -821.64, 3.71, 0.23, 2.85, 0.18, -90814.25, 85440.30, 3.33, 0.11, 3.49, ovf, 0.02, 1.9152, -6482.1059, ovf, ovf, ovf, -38.6478, ovf, 0.0288, 1
55.6810, 0.20, 1.64, 0.10, 3.04, -136.85, 3.68, 0.25, 2.78, 0.20, -15133.14, 14240.18, 3.25, 0.11, 3.48, ovf, 0.02, 2.1542, -1078.5601, ovf, ovf, ovf, -3.7048, ovf, 0.0314, 1
58.6140, 0.21, 1.62, 0.13, 3.01, -22.72, 3.61, 0.27, 2.76, 0.23, -2519.69, 2373.51, 3.19, 0.11, 3.50, ovf, 0.02, 2.1716, -177.5905, ovf, ovf, ovf, 2.5103, ovf, 0.0344, 1
61.5460, 0.21, 1.62, 0.15, 3.00, -3.69, 3.62, 0.30, 2.74, 0.25, -417.52, 395.75, 3.18, 0.11, 3.47, ovf, 0.02, 2.1746, -27.0382, ovf, ovf, ovf, 3.9187, ovf, 0.0380, 1
64.4780, 0.21, 1.59, 0.18, 2.97, -0.52, 3.59, 0.32, 2.66, 0.28, -67.19, 66.15, 3.13, 0.11, 3.44, ovf, 0.04, 2.1303, -1.6200, ovf, ovf, ovf, 4.5072, ovf, 0.0751, 1
67.4090, 0.21, 1.56, 0.20, 2.94, 0.01, 3.60, 0.35, 2.64, 0.30, -8.88, 11.23, 3.09, 0.11, 3.39, ovf, 0.04, 2.1006, 2.9670, ovf, ovf, ovf, 4.9305, ovf, 0.0865, 1
70.3410, 0.23, 1.58, 0.22, 2.89, 0.09, 3.53, 0.37, 2.57, 0.33, 0.79, 2.10, 3.03, 0.11, 3.40, ovf, 0.04, 2.3237, 4.0400, ovf, ovf, ovf, 5.3521, ovf, 0.0941, 1
73.2720, 0.23, 1.56, 0.25, 2.88, 0.11, 3.52, 0.39, 2.46, 0.35, 2.30, 0.60, 2.99, 0.11, 3.38, ovf, 0.02, 2.3360, 4.6064, ovf, ovf, ovf, 5.7762, ovf, 0.0579, 1
76.2030, 0.23, 1.56, 0.27, 2.86, 0.11, 3.50, 0.42, 2.41, 0.37, 2.52, 0.37, 3.00, 0.11, 3.36, ovf, 0.04, 2.3380, 5.0456, ovf, ovf, ovf, 6.2053, ovf, 0.0992, 1
79.1350, 0.23, 1.56, 0.27, 2.83, 0.11, 3.48, 0.44, 2.34, 0.39, 2.52, 0.35, 3.00, 0.11, 3.34, ovf, 0.01, 2.3383, 5.0590, ovf, ovf, ovf, 6.6545, ovf, 0.0165, 1
82.0670, 0.23, 1.58, 0.27, 2.85, 0.11, 3.48, 0.47, 2.29, 0.42, 2.42, 0.37, 2.90, 0.11, 3.34, ovf, 0.07, 2.3634, 5.1086, ovf, ovf, ovf, 6.8921, ovf, 0.2028, 1
84.9990, 0.23, 1.56, 0.28, 2.83, 0.11, 3.48, 0.49, 2.20, 0.44, 2.35, 0.39, 2.88, 0.11, 3.34, ovf, 0.03, 2.3426, 5.0821, ovf, ovf, ovf, 7.2942, ovf, 0.0869, 1
87.9300, 0.23, 1.56, 0.28, 2.85, 0.11, 3.43, 0.52, 2.12, 0.47, 2.26, 0.41, 2.85, 0.11, 3.34, ovf, 0.02, 2.3391, 5.1374, ovf, ovf, ovf, 7.6457, ovf, 0.0702, 1
90.8620, 0.23, 1.56, 0.28, 2.81, 0.11, 3.41, 0.54, 2.05, 0.49, 2.13, 0.44, 2.77, 0.11, 3.27, ovf, 0.02, 2.3385, 5.0452, ovf, ovf, ovf, 7.8946, 3040584704.0000, 0.0700, 1
93.7950, 0.23, 1.54, 0.28, 2.77, 0.11, 3.40, 0.56, 1.94, 0.47, 2.24, 0.46, 2.76, 0.11, 3.25, ovf, 0.02, 2.3135, 4.9695, ovf, ovf, ovf, 8.2835, 506764160.0000, 0.0721, 1
96.7270, 0.23, 1.54, 0.28, 2.79, 0.11, 3.40, 0.55, 2.01, 0.49, 2.17, 0.49, 2.73, 0.11, 3.26, ovf, 0.04, 2.3093, 5.0173, ovf, ovf, ovf, 8.6604, 84460688.0000, 0.1386, 1
99.6590, 0.23, 1.56, 0.28, 2.77, 0.11, 3.37, 0.56, 1.93, 0.52, 2.06, 0.51, 2.69, 0.11, 3.24, ovf, 0.04, 2.3336, 4.9648, ovf, ovf, ovf, 8.9535, 14076781.0000, 0.1554, 1
102.5920, 0.23, 1.56, 0.28, 2.76, 0.11, 3.36, 0.59, 1.84, 0.54, 1.94, 0.51, 2.73, 0.11, 3.24, -1002661888.00, 0.04, 2.3376, 4.9561, ovf, ovf, ovf, 9.1351, 2346132.2500, 0.1634, 1
105.5260, 0.23, 1.54, 0.28, 2.76, 0.11, 3.39, 0.57, 1.91, 0.53, 2.04, 0.52, 2.69, 0.11, 3.24, -167110320.00, 0.04, 2.3133, 4.9547, 1994337024.0000, ovf, ovf, 9.0446, 391024.0000, 0.1699, 1
108.4590, 0.23, 1.52, 0.28, 2.76, 0.11, 3.33, 0.55, 2.00, 0.50, 2.14, 0.52, 2.75, 0.11, 3.22, -27851720.00, 0.01, 2.2780, 4.9545, 332389504.0000, ovf, -1244082560.0000, 9.2299, 65172.5781, 0.0283, 1
111.3940, 0.23, 1.54, 0.28, 2.74, 0.11, 3.32, 0.52, 2.10, 0.48, 2.24, 0.52, 2.76, 0.11, 3.22, -4641953.50, 0.08, 2.3034, 4.9243, 55398248.0000, -1710993664.0000, -207347104.0000, 9.2608, 10864.0214, 0.3875, 1
114.3300, 0.23, 1.54, 0.28, 2.74, 0.11, 3.29, 0.54, 2.05, 0.49, 2.16, 0.52, 2.69, 0.11, 3.19, -773658.43, 0.10, 2.3076, 4.9072, 9233043.0000, -285165568.0000, -34557848.0000, 9.0421, 1812.5694, 0.4599, 1
117.2670, 0.23, 1.52, 0.28, 2.74, 0.11, 3.28, 0.56, 1.94, 0.52, 2.04, 0.52, 2.73, 0.11, 3.18, -128942.45, 0.08, 2.2834, 4.9289, 1538842.6250, -47527596.0000, -5759638.0000, 9.1972, 303.9665, 0.4037, 1
120.2030, 0.23, 1.50, 0.28, 2.76, 0.11, 3.31, 0.55, 2.01, 0.50, 2.14, 0.52, 2.72, 0.11, 3.16, -21489.76, 0.10, 2.2543, 4.9382, 256475.7343, -7921259.5000, -959933.8125, 9.1549, 52.5484, 0.4886, 1
