photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Fw__scan0
1.071223	-0.0041484375	0.128733	0.0022187500000000002	1.070781	0.011765625	0.130213	-0.0072343749999999995	1.068016	-0.08214062500000001	0.12952	-0.01359375	1.067485	-0.8273046875	0.128335	-0.1004609375	1.073352	-14.9449921875	0.127096	-1.7475468749999998	1.082739	-84.3718515625	0.119115	-9.243234374999998	0.255745	-390.425234375	0.029829	-44.634625	0.860788	-390.55596875	0.128105	13.84653125
1.056307	-0.013398437499999999	0.143761	0.015617187499999999	1.061227	-0.010023437500000001	0.145396	0.0013515625	1.05838	-0.07809374999999999	0.139722	-0.0106015625	1.057918	-0.828265625	0.143631	-0.09091406249999999	1.060818	-14.803265624999998	0.139395	-1.9238828125	1.070654	-83.43753125	0.131559	-10.227203125	0.255953	-390.75690625	0.039616	-59.65809375	0.860708	-390.58472656249995	0.147362	13.812625
1.046629	-0.0126328125	0.153491	-0.0008671875	1.046822	-0.0009609375000000001	0.150491	0.0160078125	1.048568	-0.0920703125	0.154547	-0.02371875	1.048696	-0.8265312499999999	0.153873	-0.110390625	1.048885	-14.5826796875	0.152219	-2.1140078124999997	1.058759	-82.5219140625	0.140928	-10.9322578125	0.255708	-390.40259375	0.049594	-74.9796640625	0.860645	-390.5848125	0.152209	13.8035
1.03722	0.0160078125	0.163525	0.0025078125	1.03263	-0.017546875	0.170548	-0.00346875	1.034483	-0.07886718749999999	0.16483	-0.0139765625	1.035388	-0.8125546875	0.164003	-0.1247578125	1.036325	-14.4405625	0.164808	-2.2870703124999996	1.04671	-81.571390625	0.152709	-11.855296875	0.255962	-390.7594921875	0.059746	-90.4612734375	0.860547	-390.5758515625	0.166233	13.749703125
1.022459	-0.00896875	0.183463	-0.0086796875	1.023061	0.0020234375	0.175521	0.015328125000000001	1.024925	-0.0883125	0.179522	-0.0269921875	1.025984	-0.8067656249999999	0.178838	-0.1549296875	1.024186	-14.2648046875	0.177287	-2.4705390625	1.034354	-80.619625	0.164504	-12.756265625000001	0.255963	-390.74110156250003	0.070086	-106.33721093749999	0.860484	-390.5805625	0.175852	13.719203124999998
1.012346	0.008578125	0.188638	-0.0036640625000000002	1.013312	-0.01234375	0.190488	-0.0007734374999999999	1.010614	-0.06575	0.189717	-0.00665625	1.01221	-0.7836328125	0.189496	-0.15425781249999998	1.011644	-14.1108359375	0.185827	-2.5876796874999997	1.022347	-79.6650546875	0.176408	-13.686343749999999	0.255701	-390.3927578125	0.079992	-121.4708828125	0.860413	-390.59523437499996	0.185104	13.705429687499999
0.998135	0.009640625	0.198311	-0.0001953125	0.999035	0.0044375000000000005	0.2006	0.0053046875	1.000743	-0.09399999999999999	0.199639	-0.019085937499999997	0.99856	-0.764640625	0.204893	-0.1401796875	1.003609	-13.971046875	0.198905	-2.7720156250000003	1.012899	-78.9213359375	0.188131	-14.6372421875	0.255954	-390.762203125	0.090683	-137.9011796875	0.860338	-390.593484375	0.203799	13.6442109375
0.983357	0.014656250000000001	0.213426	0.0002890625	0.989339	-0.008484374999999999	0.210739	0.002796875	0.986446	-0.07240625	0.214969	-0.014078125	0.989213	-0.7673359375	0.209507	-0.1797109375	0.987401	-13.7540234375	0.211087	-2.927140625	0.998451	-77.78841406250001	0.202285	-15.74915625	0.255729	-390.40392968749995	0.101262	-154.130171875	0.86026	-390.606203125	0.213249	13.592148437499999
0.97829	-0.0014453125	0.223028	-0.00578125	0.97506	-0.0007734374999999999	0.225664	-0.0054921875	0.976641	-0.0891796875	0.224246	-0.0188984375	0.975341	-0.7609765625	0.224921	-0.1722890625	0.979106	-13.6447890625	0.22334	-3.0854453124999996	0.988697	-77.03996875	0.211916	-16.463562500000002	0.255947	-390.75373437499996	0.11157	-169.8252421875	0.860187	-390.5896171875	0.2225	13.555124999999999
0.96379	0.012054687500000001	0.23754	0.010796875	0.965113	-0.0178359375	0.240961	-0.0058828125	0.96256	-0.059	0.238445	-0.0179296875	0.96609	-0.75278125	0.240357	-0.1823125	0.966502	-13.465171875	0.235516	-3.2731640625	0.976658	-76.10304687499999	0.223772	-17.3921953125	0.255971	-390.7450625	0.122892	-187.2023984375	0.86012	-390.60253906249994	0.236157	13.489953125
