photo__20p__p1__0.2Sun__Rv__scan0	photo__20p__p1__0.2Sun__Rv__scan0	photo__20p__p1__0.2Sun__Fw__scan0	photo__20p__p1__0.2Sun__Fw__scan0	photo__20p__p2__0.2Sun__Rv__scan0	photo__20p__p2__0.2Sun__Rv__scan0	photo__20p__p2__0.2Sun__Fw__scan0	photo__20p__p2__0.2Sun__Fw__scan0	photo__20p__p3__0.2Sun__Rv__scan0	photo__20p__p3__0.2Sun__Rv__scan0	photo__20p__p3__0.2Sun__Fw__scan0	photo__20p__p3__0.2Sun__Fw__scan0	photo__20p__p4__0.2Sun__Rv__scan0	photo__20p__p4__0.2Sun__Rv__scan0	photo__20p__p4__0.2Sun__Fw__scan0	photo__20p__p4__0.2Sun__Fw__scan0	photo__20p__p5__0.2Sun__Rv__scan0	photo__20p__p5__0.2Sun__Rv__scan0	photo__20p__p5__0.2Sun__Fw__scan0	photo__20p__p5__0.2Sun__Fw__scan0	photo__20p__p6__0.2Sun__Rv__scan0	photo__20p__p6__0.2Sun__Rv__scan0	photo__20p__p6__0.2Sun__Fw__scan0	photo__20p__p6__0.2Sun__Fw__scan0	photo__20p__p7__0.2Sun__Rv__scan0	photo__20p__p7__0.2Sun__Rv__scan0	photo__20p__p7__0.2Sun__Fw__scan0	photo__20p__p7__0.2Sun__Fw__scan0	photo__20p__p8__0.2Sun__Rv__scan0	photo__20p__p8__0.2Sun__Rv__scan0	photo__20p__p8__0.2Sun__Fw__scan0	photo__20p__p8__0.2Sun__Fw__scan0
1.281098	-0.00896875	-0.081885	0.0124375	1.282858	0.003375	-0.08107	-0.0029921874999999996	1.282457	-0.09448437500000001	-0.085635	0.011375	1.284748	-0.988984375	-0.078915	0.07933593750000001	1.282606	-17.855640625	-0.085345	1.1727421875	1.294165	-100.86684375	-0.096944	7.588374999999999	0.255801	-390.710421875	-0.124927	192.54624218749998	0.861894	-390.41289843749996	-0.086124	3.6104921875000002
1.271466	-0.0024140625	-0.072174	-0.003953125	1.273433	-0.016296875000000002	-0.070977	0.012625	1.272526	-0.100171875	-0.070651	0.008578125	1.269655	-0.9975703125	-0.074272	0.044828124999999996	1.274483	-17.7656875	-0.072261	1.0068359375	1.281658	-99.9043671875	-0.08262	6.4885078125	0.255843	-390.7230546875	-0.122532	188.887640625	0.861895	-390.7961328125	-0.06654	3.631890625
1.256555	-0.0090625	-0.056958	0.00240625	1.259284	-0.0144609375	-0.06099	0.0064609375000000005	1.257662	-0.1010390625	-0.055696	-0.003953125	1.259503	-0.9944843749999999	-0.060072	0.058804687499999994	1.262418	-17.571515625	-0.059583	0.8468046875	1.271409	-99.06896875	-0.073142	5.7379140625	0.255828	-390.7319296875	-0.119449	184.1758515625	0.861714	-390.4271875	-0.06192	3.6164687499999997
1.246917	-0.013789062500000001	-0.046979	0.011757812500000001	1.244394	-0.0336484375	-0.045533	0.0015390624999999998	1.247964	-0.0886953125	-0.050564	0.009156250000000001	1.244452	-0.9948671875	-0.044661	0.050609375	1.249948	-17.4273828125	-0.051059	0.72784375	1.258741	-98.1092890625	-0.0589	4.6511640625	0.255849	-390.7286484375	-0.111114	171.4154375	0.86173	-390.787	-0.046793	3.62340625
1.236994	-0.0144609375	-0.037153	-0.008390625	1.23502	-0.019960937499999998	-0.030556	0.021976562499999998	1.233306	-0.090625	-0.035728	-0.0094453125	1.239386	-0.98378125	-0.034362	0.0376953125	1.237297	-17.251046874999997	-0.038341	0.5402421875	1.24596	-97.096296875	-0.049554	3.91165625	0.255831	-390.732890625	-0.102608	158.3333359375	0.861525	-390.4343203125	-0.037079	3.6083671875
1.227591	0.00675	-0.021879	0.012625	1.225454	-0.0023125	-0.025846	-0.009546875	1.223434	-0.1163671875	-0.020488	0.02284375	1.219519	-0.9529296875	-0.024598	0.00578125	1.225021	-17.0599609375	-0.025736	0.37028125	1.235644	-96.3182578125	-0.035564	2.8127578124999997	0.255823	-390.71350781250004	-0.0944	145.7536015625	0.861538	-390.816015625	-0.022312	3.5958359375
1.207864	-0.0070390625	-0.012017	-0.02275	1.215737	-0.0213046875	-0.010428	0.0178359375	1.213714	-0.091109375	-0.01065	0.0090625	1.214535	-0.9494609374999999	-0.013853	0.011375	1.212746	-16.9150546875	-0.013115	0.178828125	1.223283	-95.348265625	-0.025842	2.0625468750000002	0.255798	-390.71939062499996	-0.085778	132.54914843749998	0.861352	-390.4614140625	-0.012372	3.6122265625
1.203038	-0.0019296874999999998	-0.002245	-0.0014453125	1.196269	0.0015390624999999998	-0.000226	0.013789062500000001	1.198976	-0.097859375	-0.000912	-0.011085937499999999	1.199338	-0.9123359375	0.001273	0.0064609375000000005	1.204732	-16.7797890625	5e-05	0.023328124999999998	1.210729	-94.3580234375	-0.011303	0.9512109375	0.255799	-390.72922656249995	-0.076634	118.571078125	0.86138	-390.8216015625	0.00239	3.6067421874999996
1.188425	0.0014453125	0.013659	0.026898437499999997	1.191291	0.0053984375	0.009485	-0.003375	1.18948	-0.0946796875	0.009193	0.00665625	1.188704	-0.93403125	0.011298	-0.0031796875000000002	1.192237	-16.6066328125	0.008072	-0.12465625000000001	1.198271	-93.4183046875	-0.001449	0.162828125	0.255805	-390.7159296875	-0.068289	105.7195703125	0.861258	-390.8158125	0.007401	3.603109375
1.178714	0.0021171874999999997	0.023231	-0.0139765625	1.176891	-0.002703125	0.024617	0.0078125	1.174721	-0.09091406249999999	0.024163	-0.0024140625	1.173624	-0.92159375	0.021481	-0.0150390625	1.175486	-16.394046874999997	0.02062	-0.2866328125	1.188547	-92.62282031250001	0.013157	-0.9772265625	0.2558	-390.70725	-0.059256	91.861515625	0.861198	-390.829109375	0.021906	3.5999296875
