2.4630,0.21,0.3360,0.0000,0.3387,-0.1667,0.3347,-0.0667,0.3320,0.0333,0.3360,-0.0333,0.3360,0.0000,0.3360,-0.0333,0.3240,0.0333,0.3360,-0.1000,0.3453,0.0000,0.3400,-0.1000,0.3400,0.0333,0.3400,0.0000,0.3413,-0.0333,0.3280,0.1000,0.3360,0.1000,0.3400,-0.0333,0.3360,-0.0333,0.3280,-0.0333,0.3320,0.0000,0.3267,0.0000,0.3360,0.0000,0.3307,0.0000,0.3320,0.0000,0.3413,0.0000,0.3400,-0.1000,0.3333,0.0333,0.3440,-0.0667,0.3400,-0.0333,0.3373,0.0000,0.3320,-0.0667,0.3360,-0.1000,0
3.0890,0.18,0.2920,0.0000,0.2947,-0.1000,0.2893,-0.0333,0.2893,0.0000,0.2920,-0.1000,0.2920,0.0000,0.2920,-0.0667,0.2800,0.0333,0.2920,-0.1333,0.3000,0.0000,0.2947,-0.1000,0.2947,0.0000,0.2960,0.0000,0.2960,0.0000,0.2813,0.1000,0.2920,0.1000,0.2947,-0.0333,0.2920,-0.0667,0.2813,-0.0333,0.2880,0.0000,0.2800,-0.0333,0.2920,-0.0333,0.2867,0.0000,0.2880,-0.0333,0.2973,0.0000,0.2960,-0.0667,0.2880,0.0667,0.3000,0.0000,0.2960,0.0000,0.2920,0.0000,0.2893,0.0000,0.2920,-0.1000,0
3.7140,0.15,0.2453,0.0000,0.2493,-0.1333,0.2440,0.0000,0.2440,0.0000,0.2480,-0.0667,0.2480,0.0000,0.2480,0.0000,0.2360,0.0000,0.2480,-0.1333,0.2547,-0.0333,0.2480,-0.1000,0.2520,0.0000,0.2507,0.0000,0.2507,0.0000,0.2360,0.1000,0.2480,0.0667,0.2480,-0.0667,0.2440,-0.0333,0.2360,-0.0667,0.2440,0.0000,0.2360,0.0333,0.2467,-0.0333,0.2400,0.0667,0.2427,-0.0333,0.2520,0.0000,0.2520,-0.1000,0.2440,0.0000,0.2547,-0.0333,0.2493,0.0000,0.2480,0.0000,0.2427,0.0000,0.2480,-0.1000,0
4.3390,0.12,0.2000,0.0000,0.2067,-0.1333,0.2000,-0.0667,0.2000,0.0000,0.2040,0.0000,0.2027,0.0000,0.2000,-0.0333,0.1920,0.0667,0.2000,-0.1000,0.2093,0.0000,0.2040,-0.0667,0.2053,0.0333,0.2080,0.0000,0.2040,0.0000,0.1920,0.1000,0.2013,0.1000,0.2040,-0.0333,0.2000,-0.1000,0.1920,0.0000,0.1987,0.0000,0.1920,0.0000,0.2000,-0.0667,0.1973,0.0000,0.2000,0.0000,0.2067,0.0333,0.2080,-0.1000,0.2000,0.0667,0.2107,0.0000,0.2053,-0.0333,0.2027,0.0000,0.1987,0.0000,0.2040,-0.0667,0
4.9640,0.09,0.1547,0.0333,0.1600,-0.1000,0.1547,-0.0667,0.1560,0.0000,0.1587,-0.0667,0.1560,0.0000,0.1560,-0.0333,0.1480,0.1000,0.1560,-0.1000,0.1640,0.0333,0.1600,-0.1000,0.1600,0.0000,0.1600,0.0000,0.1600,0.0000,0.1467,0.1000,0.1573,0.0667,0.1600,-0.0667,0.1533,-0.0667,0.1467,-0.0333,0.1520,0.0000,0.1467,0.0667,0.1560,-0.0333,0.1520,0.0000,0.1533,-0.0333,0.1600,0.0333,0.1640,-0.1000,0.1560,0.0667,0.1640,-0.0667,0.1587,0.0000,0.1560,-0.0333,0.1533,0.0000,0.1573,-0.1000,0
5.5900,0.06,0.1120,0.0000,0.1160,-0.1000,0.1080,0.0000,0.1093,0.0000,0.1120,-0.0333,0.1133,-0.0333,0.1120,-0.0333,0.1027,0.0333,0.1107,-0.1000,0.1200,0.0333,0.1133,-0.1000,0.1160,-0.0333,0.1173,0.0000,0.1160,-0.0333,0.1040,0.0667,0.1120,0.1000,0.1160,-0.0333,0.1080,0.0000,0.1040,0.0000,0.1067,-0.0333,0.1013,0.0000,0.1120,-0.0667,0.1067,0.0333,0.1093,0.0000,0.1160,0.0333,0.1200,-0.0667,0.1120,0.1000,0.1187,-0.0667,0.1147,0.0000,0.1120,0.0000,0.1080,0.0000,0.1133,-0.1000,0
6.2150,0.03,0.0640,0.0000,0.0707,-0.0667,0.0640,-0.0667,0.0640,0.0000,0.0680,-0.0667,0.0680,0.0000,0.0667,-0.0667,0.0587,0.0667,0.0667,-0.1000,0.0747,0.0000,0.0693,-0.1000,0.0720,0.0333,0.0720,0.0000,0.0693,0.0000,0.0600,0.1000,0.0680,0.0000,0.0707,-0.0333,0.0640,-0.0333,0.0573,-0.0333,0.0640,0.0000,0.0587,0.0333,0.0680,-0.0333,0.0600,0.0000,0.0667,0.0000,0.0720,0.0333,0.0733,-0.0667,0.0680,0.0667,0.0720,-0.0333,0.0680,-0.0333,0.0667,-0.0667,0.0640,0.0000,0.0707,-0.1000,0
6.8410,0.00,0.0200,0.0000,0.0240,-0.1000,0.0200,-0.0333,0.0200,0.0000,0.0240,-0.0667,0.0240,0.0000,0.0200,-0.0667,0.0147,0.0667,0.0213,-0.1333,0.0280,0.0000,0.0227,-0.0667,0.0240,0.0333,0.0267,0.0333,0.0200,0.0000,0.0160,0.1333,0.0200,0.1000,0.0253,-0.0333,0.0200,-0.0667,0.0120,0.0000,0.0187,-0.0333,0.0147,0.0333,0.0200,-0.0667,0.0160,0.0000,0.0187,-0.0333,0.0240,0.0333,0.0253,-0.0667,0.0200,0.1000,0.0280,-0.0333,0.0200,0.0000,0.0200,0.0000,0.0160,-0.0667,0.0240,-0.1000,0
7.4640,-0.03,0.0000,0.0000,0.0000,-0.1000,0.0000,-0.0333,0.0000,0.0000,0.0000,-0.0667,-0.0000,0.0000,0.0000,-0.0333,-0.0000,0.0667,0.0000,-0.1667,0.0000,0.0000,0.0000,-0.0667,-0.0000,0.0333,0.0000,0.0000,0.0000,0.0000,-0.0000,0.1000,-0.0000,0.0000,0.0000,-0.0333,0.0000,-0.0333,0.0000,-0.1000,0.0000,0.0000,0.0000,0.0333,0.0000,-0.0333,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0667,0.0000,-0.0667,-0.0000,0.0667,0.0000,-0.0333,0.0000,0.0000,0.0000,0.0333,0.0000,0.0000,0.0000,-0.1000,0
0.5820,0.03,0.0000,0.0000,0.0000,-0.1000,0.0000,-0.0667,0.0000,0.0000,0.0000,-0.0333,-0.0000,0.0000,0.0000,-0.0667,0.0000,0.1000,0.0000,-0.1000,0.0000,-0.0667,0.0000,-0.0667,-0.0000,0.0333,0.0000,0.0000,0.0000,-0.0333,-0.0000,0.1000,-0.0000,0.0667,0.0000,-0.1000,0.0000,-0.1000,0.0000,-0.1000,0.0000,-0.0667,-0.0000,0.0333,0.0000,-0.0333,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0333,0.0000,-0.1000,-0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0
1.2080,0.06,0.0200,0.0000,0.0240,-0.1000,0.0187,0.0000,0.0200,0.0000,0.0240,-0.0667,0.0200,0.0000,0.0200,-0.0333,0.0147,0.1000,0.0200,-0.1333,0.0280,0.0000,0.0240,-0.0333,0.0240,0.0000,0.0267,0.0000,0.0200,-0.0333,0.0160,0.1000,0.0200,0.1000,0.0240,-0.1000,0.0200,-0.0333,0.0147,0.0000,0.0200,0.0000,0.0133,0.0000,0.0213,-0.0333,0.0160,0.0000,0.0173,0.0333,0.0240,0.0667,0.0280,-0.1333,0.0200,0.0667,0.0267,-0.0667,0.0213,0.0000,0.0200,-0.0667,0.0173,0.0000,0.0240,-0.0667,0
1.8330,0.09,0.0653,0.0000,0.0707,-0.1667,0.0640,-0.1000,0.0640,0.0333,0.0693,-0.0667,0.0680,0.0000,0.0640,-0.0667,0.0587,0.0333,0.0680,-0.2000,0.0747,0.0000,0.0680,-0.0333,0.0720,-0.0333,0.0720,0.0000,0.0680,0.0000,0.0600,0.1000,0.0667,0.0333,0.0680,-0.1000,0.0640,0.0000,0.0560,0.0000,0.0640,0.0000,0.0600,0.0000,0.0680,-0.0333,0.0600,0.0000,0.0640,0.0000,0.0720,0.0667,0.0733,-0.1000,0.0680,0.0667,0.0720,-0.1000,0.0680,-0.0333,0.0680,0.0000,0.0640,0.0000,0.0693,-0.1000,0
2.4580,0.12,0.1107,0.0000,0.1160,-0.1333,0.1093,-0.0333,0.1093,0.0000,0.1120,-0.0667,0.1120,0.0000,0.1120,-0.0667,0.1027,0.0667,0.1120,-0.1000,0.1200,-0.0333,0.1147,-0.0667,0.1160,0.0000,0.1160,0.0000,0.1160,-0.0333,0.1040,0.1000,0.1120,0.1000,0.1160,-0.0667,0.1093,-0.0667,0.1013,-0.0333,0.1080,0.0000,0.1027,0.0333,0.1120,0.0000,0.1080,0.0333,0.1080,-0.0333,0.1160,0.1000,0.1187,-0.1000,0.1107,0.0333,0.1200,-0.1000,0.1133,-0.0333,0.1120,0.0000,0.1080,0.0000,0.1147,-0.1000,0
3.0840,0.15,0.1533,0.0000,0.1600,-0.1000,0.1547,-0.0333,0.1520,0.0000,0.1600,-0.0333,0.1560,0.0333,0.1560,-0.0667,0.1480,0.0333,0.1560,-0.1000,0.1640,0.0000,0.1600,-0.1000,0.1600,0.0000,0.1627,0.0000,0.1600,0.0000,0.1480,0.1000,0.1560,0.0667,0.1600,0.0000,0.1520,0.0000,0.1467,-0.0667,0.1520,0.0000,0.1480,0.0000,0.1560,0.0000,0.1520,0.0333,0.1533,-0.0333,0.1600,0.0667,0.1640,-0.0667,0.1547,0.1000,0.1640,-0.0333,0.1600,0.0000,0.1560,-0.0667,0.1533,0.0000,0.1587,-0.1000,0
3.7100,0.18,0.2000,0.0000,0.2080,-0.1667,0.2013,-0.0333,0.2000,0.0333,0.2040,0.0000,0.2013,0.0000,0.2000,-0.0333,0.1920,0.0667,0.2000,-0.1000,0.2080,0.0000,0.2040,-0.1000,0.2053,0.0667,0.2080,0.0000,0.2040,-0.0333,0.1920,0.1000,0.2040,0.0667,0.2053,-0.0667,0.2000,-0.0667,0.1920,0.0000,0.1987,0.0000,0.1920,0.0000,0.2027,-0.1000,0.1960,0.0000,0.2000,0.0333,0.2080,0.0333,0.2080,-0.1000,0.2000,0.1000,0.2093,-0.0333,0.2040,-0.0333,0.2013,0.0000,0.1987,-0.0333,0.2040,-0.1333,0
4.3350,0.21,0.2440,0.0000,0.2507,-0.1333,0.2440,-0.0667,0.2440,0.0000,0.2493,0.0000,0.2480,0.0000,0.2480,-0.1000,0.2360,0.0333,0.2467,-0.1333,0.2560,0.0000,0.2480,-0.0667,0.2507,0.0000,0.2507,0.0000,0.2493,0.0000,0.2360,0.1000,0.2480,0.0333,0.2493,-0.0667,0.2440,-0.0667,0.2360,0.0000,0.2427,0.0000,0.2360,0.0000,0.2467,-0.0667,0.2400,0.0333,0.2440,0.0000,0.2520,0.0333,0.2520,-0.1000,0.2440,0.0667,0.2560,0.0000,0.2480,0.0000,0.2480,0.0000,0.2440,0.0000,0.2480,-0.1000,0
4.9610,0.24,0.2893,0.0000,0.2933,-0.1000,0.2907,-0.0333,0.2893,-0.0333,0.2933,-0.0333,0.2920,0.0000,0.2920,-0.0667,0.2800,0.0333,0.2920,-0.1667,0.3000,-0.0333,0.2947,-0.1000,0.2947,0.0333,0.2960,0.0000,0.2960,0.0000,0.2813,0.1000,0.2920,0.1000,0.2960,-0.0667,0.2920,-0.0667,0.2840,0.0000,0.2867,0.0000,0.2813,0.0333,0.2920,-0.1000,0.2880,0.0000,0.2880,0.0000,0.2960,0.0333,0.2960,-0.0667,0.2880,0.0333,0.3000,-0.1000,0.2960,-0.0333,0.2920,0.0000,0.2893,0.0000,0.2920,-0.0667,0
5.5880,0.27,0.3333,0.0000,0.3400,-0.1667,0.3333,-0.0667,0.3320,0.0000,0.3360,0.0000,0.3360,-0.0333,0.3360,-0.0667,0.3240,0.0333,0.3360,-0.1333,0.3440,0.0000,0.3400,-0.1000,0.3400,0.0000,0.3400,0.0000,0.3400,0.0000,0.3280,0.1000,0.3360,0.0333,0.3400,-0.0667,0.3360,-0.0333,0.3280,0.0000,0.3320,0.0000,0.3280,0.0000,0.3360,-0.0667,0.3320,0.0000,0.3320,0.0000,0.3400,0.0333,0.3413,-0.0667,0.3347,0.0667,0.3453,0.0000,0.3413,-0.0333,0.3360,0.0000,0.3320,0.0000,0.3360,-0.1000,0
6.2130,0.30,0.3813,-0.0333,0.3840,-0.1667,0.3800,0.0000,0.3800,0.0000,0.3840,-0.0333,0.3813,0.0333,0.3840,-0.0667,0.3720,0.0667,0.3813,-0.1000,0.3920,0.0000,0.3867,-0.1000,0.3840,0.0333,0.3880,0.0333,0.3880,-0.0333,0.3720,0.1000,0.3840,0.0667,0.3840,-0.0667,0.3800,-0.0333,0.3720,0.0000,0.3787,0.0000,0.3720,0.0000,0.3840,-0.0667,0.3760,0.0333,0.3760,0.0000,0.3880,0.0333,0.3880,-0.1000,0.3800,0.0333,0.3907,-0.0667,0.3880,0.0000,0.3840,0.0000,0.3773,0.0000,0.3813,-0.1000,0
