D1__testMartin__p1__1.0Sun__Rv__scan0	D1__testMartin__p1__1.0Sun__Rv__scan0	D1__testMartin__p1__1.0Sun__Fw__scan0	D1__testMartin__p1__1.0Sun__Fw__scan0	D1__testMartin__p2__1.0Sun__Rv__scan0	D1__testMartin__p2__1.0Sun__Rv__scan0	D1__testMartin__p2__1.0Sun__Fw__scan0	D1__testMartin__p2__1.0Sun__Fw__scan0	D1__testMartin__p3__1.0Sun__Rv__scan0	D1__testMartin__p3__1.0Sun__Rv__scan0	D1__testMartin__p3__1.0Sun__Fw__scan0	D1__testMartin__p3__1.0Sun__Fw__scan0	D1__testMartin__p4__1.0Sun__Rv__scan0	D1__testMartin__p4__1.0Sun__Rv__scan0	D1__testMartin__p4__1.0Sun__Fw__scan0	D1__testMartin__p4__1.0Sun__Fw__scan0	D1__testMartin__p5__1.0Sun__Rv__scan0	D1__testMartin__p5__1.0Sun__Rv__scan0	D1__testMartin__p5__1.0Sun__Fw__scan0	D1__testMartin__p5__1.0Sun__Fw__scan0	D1__testMartin__p6__1.0Sun__Rv__scan0	D1__testMartin__p6__1.0Sun__Rv__scan0	D1__testMartin__p6__1.0Sun__Fw__scan0	D1__testMartin__p6__1.0Sun__Fw__scan0	D1__testMartin__p7__1.0Sun__Rv__scan0	D1__testMartin__p7__1.0Sun__Rv__scan0	D1__testMartin__p7__1.0Sun__Fw__scan0	D1__testMartin__p7__1.0Sun__Fw__scan0	D1__testMartin__p8__1.0Sun__Rv__scan0	D1__testMartin__p8__1.0Sun__Rv__scan0	D1__testMartin__p8__1.0Sun__Fw__scan0	D1__testMartin__p8__1.0Sun__Fw__scan0
1.142755	0.0077109375	0.060436	-0.0014453125	1.14375	0.0284375	0.058179	0.0090625	1.159461	-10.19375	0.053721	20.17490625	1.139815	0.014656250000000001	0.0571	-0.0001953125	1.140025	-0.0075234375	0.059487	0.005976562499999999	1.153418	-6.6108203125	0.058853	19.7016015625	1.159801	-13.90259375	0.059381	19.115671875	1.140829	-0.0035703124999999997	0.0575	-0.0136875
1.13275	0.0161015625	0.070547	0.0070390625	1.128655	-0.0086796875	0.068316	0.0078125	1.1449	-8.6431640625	0.071185	20.0815078125	1.130236	0.0072343749999999995	0.072119	-0.0347109375	1.130234	-0.004242187499999999	0.069242	-0.011953124999999998	1.144309	-5.8409765625	0.068162	19.708312499999998	1.149097	-12.076851562499998	0.068235	19.068390625	1.131147	0.0090625	0.07283	0.0053046875
1.113412	0.002796875	0.080578	-0.003375	1.118935	0.000484375	0.083433	0.011375	1.134509	-7.592	0.080067	20.018234375	1.12087	0.01475	0.082592	0.00665625	1.115935	0.0111875	0.079716	0.0077109375	1.130252	-4.7211640625	0.082374	19.673796875	1.138118	-10.6599921875	0.081547	19.0314609375	1.115876	-0.01128125	0.082396	-0.0002890625
1.108419	0.011085937499999999	0.095707	9.375e-05	1.104536	-0.0053046875	0.093095	-0.0124375	1.12184	-6.32534375	0.093255	19.953828125	1.106638	-0.01821875	0.092803	-0.008578125	1.106417	-0.012531249999999999	0.094373	0.0041484375	1.118653	-3.7634140625	0.092009	19.656507812500003	1.125424	-8.999500000000001	0.090662	19.0412578125	1.106198	0.0001953125	0.092201	-0.0154296875
1.093711	-0.0087734375	0.105588	-0.012054687500000001	1.095131	0.0	0.108256	0.0031796875000000002	1.111178	-5.286515625	0.101944	19.8761796875	1.093117	-0.001734375	0.108265	-0.010218749999999999	1.097	-0.0022187500000000002	0.109484	-0.0044375000000000005	1.107158	-2.8632187499999997	0.106183	19.658624999999997	1.11255	-7.74490625	0.104044	18.9718359375	1.095991	-0.008390625	0.107187	0.00125
1.083565	-0.0062656249999999995	0.115848	0.0136875	1.080302	-0.00790625	0.118457	-0.0031796875000000002	1.098242	-4.0323984375	0.115227	19.7942265625	1.083491	-0.0002890625	0.118357	0.013398437499999999	1.082353	0.020054687499999998	0.114863	0.009351562499999999	1.095365	-1.9521328125000001	0.115563	19.6344921875	1.099824	-6.4624453125	0.117453	18.948015624999996	1.081225	-0.0106015625	0.117139	0.002890625
1.069239	0.0019296874999999998	0.130805	0.0053984375	1.075698	-0.004625	0.128737	0.0240078125	1.084943	-2.8249453125	0.128434	19.7133359375	1.074313	0.0058828125	0.128474	-0.0087734375	1.072904	-0.0063593750000000004	0.129827	-0.008	1.083391	-1.044515625	0.129735	19.628703125	1.087534	-5.184515625	0.127388	18.9043125	1.066643	0.011765625	0.127104	0.010703124999999999
1.059322	-0.0015390624999999998	0.140851	0.0007734374999999999	1.056264	0.008484374999999999	0.138475	0.0069453125	1.07379	-1.8281484375	0.141525	19.6137421875	1.05562	0.0021171874999999997	0.138694	0.00578125	1.058721	-0.0078125	0.139665	0.00038281249999999996	1.071342	-0.11328125	0.13919	19.6052421875	1.076074	-3.7848124999999997	0.142173	18.876351562500002	1.061801	-0.009351562499999999	0.141796	-0.01484375
1.04456	-0.0106015625	0.155819	0.011375	1.046849	0.0150390625	0.153461	0.0069453125	1.0603	-0.686640625	0.150778	19.580828125	1.046417	-0.0019296874999999998	0.154045	-0.011859375	1.044026	0.0081015625	0.155061	0.014656250000000001	1.059271	0.7542265625	0.153354	19.586343749999997	1.064075	-2.4733359375	0.152	18.842875	1.046714	-0.018609375	0.156737	-0.013109375
1.034914	0.0015390624999999998	0.160649	-0.0064609375000000005	1.037056	-0.011953124999999998	0.163528	0.016484375	1.048643	0.29010156249999997	0.16435	19.4820078125	1.036951	-0.012054687500000001	0.164597	-0.003375	1.038952	-0.011953124999999998	0.165116	0.0121484375	1.047006	1.668203125	0.16274	19.620914062500002	1.05169	-1.2329999999999999	0.166801	18.783390625	1.037205	-0.0041484375	0.161618	-0.003953125
