11.7160, 0.40, 1.98, 0.00, -1.94, 0.00, -1.93, -0.00, 0.02, 0.04, 2.14, 0.40, 0.01, 0.26, 2.13, 0.25, 1.92, 5.1314, -0.0024, -0.0024, -0.0000, nan, 0.0116, 3.5957, 3.1385, 0
14.6490, 0.54, 1.83, 0.00, -1.97, 0.00, -1.96, -0.00, 0.00, 0.04, 2.16, 0.54, 0.00, 0.40, 2.01, 0.39, 1.79, 6.4082, -0.0026, -0.0025, -0.0000, nan, 0.0019, 5.2378, 4.5474, 0
17.5820, 0.68, 1.77, 0.00, -1.93, 0.00, -1.91, -0.00, 0.00, 0.04, 2.18, 0.69, 0.05, 0.55, 1.92, 0.54, 1.68, 7.8497, -0.0024, -0.0024, -0.0000, nan, 0.2331, 6.8336, 5.8574, 0
20.5140, 0.83, 1.66, 0.00, -1.99, 0.00, -1.93, -0.00, 0.02, 0.04, 2.20, 0.83, 0.11, 0.57, 2.00, 0.68, 1.60, 8.9089, -0.0025, -0.0025, -0.0000, nan, 0.5982, 7.4841, 7.0301, 0
23.4480, 0.85, 1.79, 0.00, -1.93, 0.00, -1.87, -0.00, 0.04, 0.04, 2.20, 0.97, 0.13, 0.58, 2.03, 0.82, 1.62, 9.9194, -0.0024, -0.0023, -0.0000, nan, 0.8617, 7.6732, 8.6374, 0
26.3810, 0.85, 1.88, 0.00, -1.97, 0.00, -1.93, -0.00, 0.04, 0.04, 2.17, 1.12, 0.11, 0.58, 2.06, 0.84, 1.77, 10.4586, -0.0025, -0.0024, -0.0000, nan, 0.7660, 7.7589, 9.7191, 0
29.3140, 0.85, 1.88, 0.00, -1.96, 0.00, -1.94, -0.00, 0.02, 0.04, 2.13, 1.14, 0.12, 0.58, 2.06, 0.85, 1.79, 10.4558, -0.0025, -0.0025, -0.0000, nan, 0.8745, 7.7731, 9.9071, 0
32.2460, 0.85, 1.91, 0.00, -1.98, 0.00, -1.96, -0.00, 0.02, 0.04, 2.14, 1.15, 0.09, 0.58, 2.06, 0.85, 1.88, 10.6324, -0.0025, -0.0025, -0.0000, nan, 0.6437, 7.7578, 10.4070, 0
35.1790, 0.85, 1.90, 0.00, -1.96, 0.00, -1.99, -0.00, 0.02, 0.04, 2.16, 1.03, 0.15, 0.58, 2.08, 0.85, 1.91, 10.5774, -0.0025, -0.0026, -0.0000, nan, 0.9781, 7.8271, 10.5742, 0
38.1120, 0.85, 1.90, 0.00, -1.99, 0.00, -1.98, -0.00, 0.02, 0.04, 2.14, 1.13, 0.11, 0.58, 2.11, 0.85, 1.90, 10.5605, -0.0026, -0.0026, -0.0000, nan, 0.7854, 7.9641, 10.5099, 0
41.0460, 0.85, 1.92, 0.00, -2.00, 0.00, -2.00, -0.00, 0.02, 0.04, 2.16, 1.02, 0.13, 0.58, 2.09, 0.85, 1.92, 10.6581, -0.0026, -0.0026, -0.0000, nan, 0.8929, 7.8609, 10.5913, 0
43.9780, 0.85, 1.90, 0.00, -2.03, 0.00, -2.00, -0.00, 0.04, 0.04, 2.14, 1.01, 0.16, 0.58, 2.10, 0.85, 1.92, 10.5817, -0.0026, -0.0026, -0.0000, nan, 1.0196, 7.8969, 10.6132, 0
46.9120, 0.85, 1.88, 0.00, -1.97, 0.00, -2.00, -0.00, 0.02, 0.04, 2.14, 1.00, 0.18, 0.58, 2.13, 0.85, 1.90, 10.4763, -0.0025, -0.0025, -0.0000, nan, 1.1496, 8.0476, 10.5247, 0
49.8450, 0.85, 1.91, 0.00, -1.98, 0.00, -1.95, -0.00, 0.02, 0.04, 2.16, 1.00, 0.18, 0.58, 2.07, 0.85, 1.90, 10.6440, -0.0025, -0.0025, -0.0000, nan, 1.1713, 7.8124, 10.5100, 0
52.7780, 0.85, 1.90, 0.00, -1.98, 0.00, -1.96, -0.00, 0.00, 0.04, 2.18, 1.00, 0.15, 0.58, 2.08, 0.85, 1.92, 10.5793, -0.0026, -0.0025, -0.0000, nan, 0.9572, 7.8351, 10.5997, 0
55.7100, 0.85, 1.92, 0.00, -2.01, 0.00, -1.98, -0.00, 0.02, 0.04, 2.13, 1.12, 0.09, 0.58, 2.05, 0.85, 2.00, 10.6612, -0.0026, -0.0025, -0.0000, nan, 0.6574, 7.7139, 11.0666, 0
58.6440, 0.85, 1.94, 0.00, -1.97, 0.00, -1.98, -0.00, 0.05, 0.04, 2.17, 1.02, 0.18, 0.58, 2.04, 0.85, 1.95, 10.7675, -0.0025, -0.0025, -0.0000, nan, 1.1981, 7.6849, 10.7674, 0
61.5770, 0.85, 1.94, 0.00, -1.98, 0.00, -2.01, -0.00, 0.04, 0.04, 2.13, 1.01, 0.15, 0.58, 2.06, 0.85, 1.94, 10.7769, -0.0025, -0.0025, -0.0000, nan, 0.9617, 7.7696, 10.7264, 0
64.5110, 0.85, 1.92, 0.00, -1.96, 0.00, -1.95, -0.00, 0.02, 0.04, 2.15, 1.00, 0.14, 0.58, 2.09, 0.85, 1.96, 10.6942, -0.0025, -0.0025, -0.0000, nan, 0.9228, 7.8916, 10.8200, 0
67.4430, 0.85, 1.94, 0.00, -1.96, 0.00, -1.94, -0.00, 0.00, 0.04, 2.14, 1.12, 0.12, 0.58, 2.08, 0.85, 1.99, 10.7730, -0.0026, -0.0025, -0.0000, nan, 0.9007, 7.8582, 11.0200, 0
70.3760, 0.85, 1.96, 0.00, -1.96, 0.00, -1.97, -0.00, 0.02, 0.04, 2.17, 1.14, 0.12, 0.58, 2.06, 0.85, 1.97, 10.8789, -0.0026, -0.0025, -0.0000, nan, 0.8970, 7.7985, 10.8690, 0
73.3090, 0.85, 1.93, 0.00, -1.94, 0.00, -1.95, -0.00, 0.02, 0.04, 2.18, 1.03, 0.15, 0.58, 2.08, 0.85, 1.96, 10.7111, -0.0025, -0.0025, -0.0000, nan, 1.0208, 7.8068, 10.8350, 0
76.2430, 0.85, 1.92, 0.00, -1.97, 0.00, -1.97, -0.00, 0.00, 0.04, 2.16, 1.01, 0.14, 0.58, 2.08, 0.85, 1.93, 10.6832, -0.0025, -0.0025, -0.0000, nan, 0.9321, 7.8441, 10.6538, 0
79.1750, 0.85, 1.92, 0.00, -1.95, 0.00, -1.98, -0.00, 0.02, 0.04, 2.14, 1.00, 0.17, 0.58, 2.10, 0.85, 1.95, 10.6786, -0.0025, -0.0025, -0.0000, nan, 1.1350, 7.9128, 10.7996, 0
82.1090, 0.85, 1.94, 0.00, -1.96, 0.00, -1.96, -0.00, 0.02, 0.04, 2.16, 1.00, 0.13, 0.58, 2.08, 0.85, 1.96, 10.7704, -0.0025, -0.0025, -0.0000, nan, 0.8423, 7.8612, 10.8234, 0
85.0420, 0.85, 1.92, 0.00, -1.96, 0.00, -1.94, -0.00, 0.04, 0.04, 2.16, 1.12, 0.07, 0.58, 2.06, 0.85, 1.96, 10.6847, -0.0025, -0.0024, -0.0000, nan, 0.5138, 7.7542, 10.8362, 0
87.9750, 0.73, 2.14, 0.00, -1.96, 0.00, -1.96, -0.00, 0.02, 0.04, 2.16, 1.26, 0.06, 0.58, 2.08, 0.85, 1.94, 10.1802, -0.0025, -0.0025, -0.0000, nan, 0.5044, 7.8171, 10.7378, 0
90.9070, 0.83, 1.87, 0.00, -1.96, 0.00, -1.96, -0.00, 0.00, 0.04, 2.14, 1.17, 0.08, 0.58, 2.08, 0.85, 1.96, 10.1314, -0.0025, -0.0025, -0.0000, nan, 0.5820, 7.8276, 10.8219, 0
93.8400, 0.85, 1.91, 0.00, -1.99, 0.00, -1.98, -0.00, 0.03, 0.04, 2.17, 1.03, 0.15, 0.58, 2.06, 0.85, 1.98, 10.5866, -0.0026, -0.0025, -0.0000, nan, 0.9678, 7.7846, 10.9281, 0
96.7730, 0.85, 1.94, 0.00, -1.95, 0.00, -1.95, -0.00, 0.04, 0.04, 2.18, 1.01, 0.14, 0.58, 2.08, 0.85, 1.96, 10.7468, -0.0025, -0.0024, -0.0000, nan, 0.9233, 7.8227, 10.8536, 0
99.7070, 0.85, 1.92, 0.00, -1.99, 0.00, -1.94, -0.00, 0.06, 0.04, 2.13, 1.00, 0.14, 0.58, 2.06, 0.85, 1.98, 10.6891, -0.0025, -0.0024, -0.0000, nan, 0.9158, 7.7660, 10.9334, 0
102.6390, 0.85, 1.94, 0.00, -2.02, 0.00, -1.94, -0.00, 0.01, 0.04, 2.15, 0.88, 0.17, 0.58, 2.04, 0.85, 2.00, 10.7722, -0.0026, -0.0025, -0.0000, nan, 0.9917, 7.6936, 11.0300, 0
105.5730, 0.85, 1.94, 0.00, -1.97, 0.00, -1.94, -0.00, 0.03, 0.04, 2.13, 0.98, 0.15, 0.58, 2.07, 0.85, 2.00, 10.7861, -0.0025, -0.0025, -0.0000, nan, 0.9272, 7.8253, 11.0550, 0
108.5060, 0.85, 1.92, 0.00, -1.96, 0.00, -1.94, -0.00, 0.02, 0.04, 2.12, 1.00, 0.14, 0.58, 2.05, 0.85, 2.00, 10.6873, -0.0025, -0.0024, -0.0000, nan, 0.9165, 7.7300, 11.0591, 0
111.4400, 0.85, 1.99, 0.00, -1.96, 0.00, -1.94, -0.00, 0.02, 0.04, 2.10, 1.12, 0.09, 0.58, 2.06, 0.85, 1.97, 11.0499, -0.0025, -0.0024, -0.0000, nan, 0.6507, 7.7595, 10.8671, 0
114.3720, 0.85, 1.95, 0.00, -1.98, 0.00, -1.96, -0.00, 0.04, 0.04, 2.13, 1.02, 0.12, 0.58, 2.06, 0.85, 1.98, 10.8323, -0.0025, -0.0025, -0.0000, nan, 0.7616, 7.7466, 10.9356, 0
117.3060, 0.85, 1.96, 0.00, -1.93, 0.00, -1.96, -0.00, 0.01, 0.04, 2.16, 0.89, 0.15, 0.58, 2.06, 0.85, 1.98, 10.8888, -0.0024, -0.0025, -0.0000, nan, 0.8727, 7.7711, 10.9471, 0
120.2390, 0.85, 1.94, 0.00, -1.92, 0.00, -1.93, -0.00, 0.03, 0.04, 2.11, 0.98, 0.11, 0.58, 2.06, 0.85, 2.00, 10.8055, -0.0025, -0.0024, -0.0000, nan, 0.6897, 7.7658, 11.0411, 0
123.1730, 0.85, 1.94, 0.00, -1.95, 0.00, -1.92, -0.00, 0.02, 0.04, 2.15, 0.88, 0.18, 0.58, 2.04, 0.85, 1.95, 10.7916, -0.0025, -0.0024, -0.0000, nan, 1.0472, 7.7024, 10.7720, 0
126.1050, 0.85, 1.96, 0.00, -1.96, 0.00, -1.95, -0.00, 0.02, 0.04, 2.16, 0.86, 0.16, 0.58, 2.06, 0.85, 1.94, 10.8820, -0.0025, -0.0024, -0.0000, nan, 0.9204, 7.7372, 10.7355, 0
129.0390, 0.85, 1.94, 0.00, -1.94, 0.00, -1.93, -0.00, 0.04, 0.04, 2.16, 0.86, 0.18, 0.58, 2.04, 0.85, 1.89, 10.8043, -0.0025, -0.0024, -0.0000, nan, 0.9935, 7.6976, 10.4529, 0
131.9720, 0.85, 1.96, 0.00, -1.92, 0.00, -1.92, -0.00, 0.02, 0.04, 2.16, 0.98, 0.16, 0.58, 2.04, 0.85, 1.93, 10.8757, -0.0024, -0.0024, 0.0000, nan, 1.0374, 7.7000, 10.6823, 0
134.9060, 0.85, 1.96, 0.00, -1.92, 0.00, -1.92, -0.00, 0.04, 0.04, 2.16, 1.00, 0.14, 0.58, 2.04, 0.85, 1.96, 10.8959, -0.0024, -0.0024, 0.0000, nan, 0.9349, 7.6826, 10.8044, 0
137.8380, 0.85, 1.96, 0.00, -1.94, 0.00, -1.94, -0.00, 0.01, 0.04, 2.13, 1.00, 0.14, 0.58, 2.09, 0.85, 1.94, 10.8993, -0.0025, -0.0024, 0.0000, nan, 0.9178, 7.8765, 10.7409, 0
140.7720, 0.85, 1.98, 0.00, -1.94, 0.00, -1.92, -0.00, 0.03, 0.04, 2.10, 1.00, 0.14, 0.58, 2.05, 0.85, 1.94, 10.9926, -0.0025, -0.0024, 0.0000, nan, 0.9149, 7.7032, 10.7303, 0
143.7050, 0.85, 2.00, 0.00, -1.94, 0.00, -1.94, -0.00, 0.01, 0.04, 2.13, 1.12, 0.11, 0.58, 2.06, 0.85, 1.96, 11.1008, -0.0025, -0.0024, 0.0000, nan, 0.7749, 7.7633, 10.8207, 0
