Voltage Range: 1.2, , ,,,,,1.2,-5.8
Voltage Step Size: 0.01, , ,,,,,1.2,-5.8
Voltage Read Count: 10, , ,,,,,1.18,-3.2
Volts_output,Volts Pixel 1,Current Pixel 1,,averages,,,1.15,-3.3
1.05,1.0521,-0.8,,0.5627,2.3091,,,
1.05,1.0521,-0.8,,0.5725,2.3273,,,
1.05,1.0521,-0.9,,0.5834,2.3182,,,
1.05,1.0521,-0.8,,0.5921,2.3,,,
1.05,1.0561,-0.8,,0.6038,2.3,,,
1.05,1.0521,-0.8,,0.6118,2.3091,,,
1.05,1.0561,-0.9,,0.623,2.3,,,
1.05,1.0521,-0.9,,0.6318,2.2818,,,
1.05,1.0521,-0.8,,0.6438,2.2727,,,
1.04,1.0441,-0.6,,0.6521,2.2636,,,
1.04,1.0441,-0.6,,0.6634,2.2455,,,
1.04,1.0441,-0.7,,0.6721,2.2364,,,
1.04,1.0441,-0.7,,0.6834,2.2,,,
1.04,1.0441,-0.7,,0.6932,2.2,,,
1.04,1.0441,-0.7,,0.7031,2.1727,,,
1.04,1.0441,-0.6,,0.7129,2.1364,,,
1.04,1.0441,-0.7,,0.7231,2.1091,,,
1.04,1.0441,-0.6,,0.7325,2.1,,,
1.04,1.0441,-0.7,,0.7434,2.0727,,,
1.04,1.0441,-0.7,,0.7522,2.0273,,,
1.03,1.036,-0.5,,0.7638,1.9818,,,
1.03,1.036,-0.5,,0.7718,1.9455,,,
1.03,1.036,-0.5,,0.7834,1.9273,,,
1.03,1.036,-0.4,,0.794,1.8818,,,
1.03,1.036,-0.6,,0.8035,1.8182,,,
1.03,1.036,-0.5,,0.8144,1.7727,,,
1.03,1.0361,-0.5,,0.8238,1.7,,,
1.03,1.036,-0.5,,0.8333,1.6455,,,
1.03,1.036,-0.5,,0.8438,1.5909,,,
1.03,1.036,-0.5,,0.8544,1.5273,,,
1.03,1.0321,-0.5,,0.8639,1.4364,,,
1.02,1.024,-0.3,,0.8744,1.3727,,,
1.02,1.024,-0.3,,0.8839,1.3,,,
1.02,1.024,-0.3,,0.8951,1.2182,,,
1.02,1.024,-0.3,,0.9042,1.1636,,,
1.02,1.024,-0.3,,0.9159,1.0455,,,
1.02,1.024,-0.3,,0.9239,0.9818,,,
1.02,1.024,-0.3,,0.9359,0.8545,,,
1.02,1.024,-0.3,,0.9439,0.7364,,,
1.02,1.024,-0.3,,0.9556,0.6364,,,
1.02,1.024,-0.4,,0.964,0.5,,,
1.02,1.024,-0.3,,0.9752,0.4,,,
1.01,1.016,-0.2,,0.984,0.2091,,,
1.01,1.016,-0.2,,0.9956,0.1,,,
1.01,1.012,-0.2,,1.004,-0.0545,,,
1.01,1.012,-0.1,,1.0149,-0.2273,,,
1.01,1.016,-0.2,,1.024,-0.4,,,
1.01,1.016,-0.2,,1.035,-0.6,,,
1.01,1.016,-0.2,,1.0441,-0.7818,,,
1.01,1.012,-0.2,,1.0543,-0.9545,,,
1.01,1.016,-0.2,,1.0641,-1.1545,,,
1.01,1.016,-0.1,,1.0732,-1.3818,,,
1.01,1.016,-0.2,,1.0842,-1.6182,,,
1,1.004,,,1.094,-1.8182,,,
1,1.004,,,1.1035,-2.0636,,,
1,1.004,,,1.1148,-2.3182,,,
1,1.004,,,1.1239,-2.5636,,,
1,1.004,,,1.133,-2.8273,,,
1,1.004,,,1.1443,-3.1,,,
1,1.004,,,1.1534,-3.3727,,,
1,1.004,,,1.164,-3.6636,,,
1,1.004,,,1.1724,-3.9364,,,
1,1.004,,,1.1844,-4.2636,,,
1,1.004,,,1.1925,-4.5364,,,
0.99,0.996,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.992,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.992,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.99,0.996,0.1,,,,,,
0.98,0.988,0.2,,,,,,
0.98,0.988,0.2,,,,,,
0.98,0.988,0.2,,,,,,
0.98,0.984,0.2,,,,,,
0.98,0.984,0.2,,,,,,
0.98,0.984,0.3,,,,,,
0.98,0.984,0.3,,,,,,
0.98,0.984,0.3,,,,,,
0.98,0.984,0.2,,,,,,
0.98,0.984,0.3,,,,,,
0.98,0.988,0.2,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.5,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.976,0.4,,,,,,
0.97,0.972,0.4,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.968,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.9639,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.96,0.964,0.5,,,,,,
0.95,0.9559,0.7,,,,,,
0.95,0.9519,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.95,0.9519,0.6,,,,,,
0.95,0.9559,0.6,,,,,,
0.94,0.9439,0.7,,,,,,
0.94,0.9439,0.7,,,,,,
0.94,0.9439,0.7,,,,,,
0.94,0.9439,0.8,,,,,,
0.94,0.9439,0.7,,,,,,
0.94,0.9439,0.7,,,,,,
0.94,0.9439,0.8,,,,,,
0.94,0.9439,0.7,,,,,,
0.94,0.9439,0.8,,,,,,
0.94,0.9439,0.8,,,,,,
0.94,0.9439,0.7,,,,,,
0.93,0.9359,0.9,,,,,,
0.93,0.9359,0.9,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.9,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.8,,,,,,
0.93,0.9359,0.8,,,,,,
0.92,0.9239,0.9,,,,,,
0.92,0.9239,0.9,,,,,,
0.92,0.9239,1,,,,,,
0.92,0.9239,1,,,,,,
0.92,0.9239,0.9,,,,,,
0.92,0.9239,0.9,,,,,,
0.92,0.9279,0.9,,,,,,
0.92,0.9239,0.9,,,,,,
0.92,0.9239,1,,,,,,
0.92,0.9239,1,,,,,,
0.92,0.9239,0.9,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1.1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.91,0.9159,1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.2,,,,,,
0.9,0.9039,1.1,,,,,,
0.9,0.9039,1.2,,,,,,
0.9,0.9039,1.1,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8919,1.1,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8959,1.2,,,,,,
0.89,0.8919,1.2,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8879,1.3,,,,,,
0.88,0.8839,1.2,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8839,1.3,,,,,,
0.88,0.8839,1.2,,,,,,
0.88,0.8839,1.3,,,,,,
0.87,0.8759,1.3,,,,,,
0.87,0.8759,1.3,,,,,,
0.87,0.8759,1.3,,,,,,
0.87,0.8759,1.3,,,,,,
0.87,0.8759,1.4,,,,,,
0.87,0.8719,1.3,,,,,,
0.87,0.8759,1.4,,,,,,
0.87,0.8719,1.3,,,,,,
0.87,0.8759,1.3,,,,,,
0.87,0.8759,1.4,,,,,,
0.87,0.8719,1.3,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.86,0.8639,1.4,,,,,,
0.85,0.8559,1.5,,,,,,
0.85,0.8519,1.5,,,,,,
0.85,0.8559,1.5,,,,,,
0.85,0.8559,1.5,,,,,,
0.85,0.8519,1.5,,,,,,
0.85,0.8559,1.5,,,,,,
0.85,0.8519,1.5,,,,,,
0.85,0.8519,1.5,,,,,,
0.85,0.8559,1.5,,,,,,
0.85,0.8559,1.4,,,,,,
0.85,0.8519,1.5,,,,,,
0.84,0.8438,1.5,,,,,,
0.84,0.8438,1.6,,,,,,
0.84,0.8438,1.5,,,,,,
0.84,0.8438,1.5,,,,,,
0.84,0.8439,1.5,,,,,,
0.84,0.8439,1.6,,,,,,
0.84,0.8438,1.5,,,,,,
0.84,0.8438,1.6,,,,,,
0.84,0.8438,1.6,,,,,,
0.84,0.8439,1.5,,,,,,
0.84,0.8439,1.5,,,,,,
0.83,0.8318,1.6,,,,,,
0.83,0.8358,1.6,,,,,,
0.83,0.8358,1.6,,,,,,
0.83,0.8358,1.7,,,,,,
0.83,0.8358,1.6,,,,,,
0.83,0.8318,1.6,,,,,,
0.83,0.8318,1.6,,,,,,
0.83,0.8359,1.7,,,,,,
0.83,0.8358,1.6,,,,,,
0.83,0.8358,1.6,,,,,,
0.83,0.8358,1.6,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.6,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.82,0.8238,1.7,,,,,,
0.81,0.8158,1.7,,,,,,
0.81,0.8158,1.7,,,,,,
0.81,0.8118,1.8,,,,,,
0.81,0.8118,1.7,,,,,,
0.81,0.8158,1.7,,,,,,
0.81,0.8118,1.7,,,,,,
0.81,0.8158,1.8,,,,,,
0.81,0.8158,1.7,,,,,,
0.81,0.8118,1.7,,,,,,
0.81,0.8158,1.7,,,,,,
0.81,0.8158,1.7,,,,,,
0.8,0.8038,1.7,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.7998,1.8,,,,,,
0.8,0.8038,1.7,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.8038,1.8,,,,,,
0.8,0.8038,1.8,,,,,,
0.79,0.7958,1.8,,,,,,
0.79,0.7918,1.9,,,,,,
0.79,0.7918,1.8,,,,,,
0.79,0.7918,1.8,,,,,,
0.79,0.7918,1.8,,,,,,
0.79,0.7958,1.8,,,,,,
0.79,0.7918,1.8,,,,,,
0.79,0.7918,1.8,,,,,,
0.79,0.7918,1.8,,,,,,
0.79,0.7958,1.8,,,,,,
0.79,0.7958,1.8,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.8,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.78,0.7838,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7758,2,,,,,,
0.77,0.7758,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7718,1.9,,,,,,
0.77,0.7718,2,,,,,,
0.77,0.7718,1.9,,,,,,
0.76,0.7638,1.9,,,,,,
0.76,0.7638,2,,,,,,
0.76,0.7638,2,,,,,,
0.76,0.7638,1.9,,,,,,
0.76,0.7638,1.9,,,,,,
0.76,0.7638,2,,,,,,
0.76,0.7638,1.9,,,,,,
0.76,0.7638,2,,,,,,
0.76,0.7638,2,,,,,,
0.76,0.7638,2,,,,,,
0.76,0.7638,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,2.1,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7558,2,,,,,,
0.75,0.7518,2,,,,,,
0.75,0.7518,1.9,,,,,,
0.74,0.7398,2,,,,,,
0.74,0.7438,2,,,,,,
0.74,0.7438,2,,,,,,
0.74,0.7438,2.1,,,,,,
0.74,0.7438,2,,,,,,
0.74,0.7438,2,,,,,,
0.74,0.7438,2.1,,,,,,
0.74,0.7438,2.1,,,,,,
0.74,0.7438,2,,,,,,
0.74,0.7438,2.1,,,,,,
0.74,0.7438,2,,,,,,
0.73,0.7318,2,,,,,,
0.73,0.7318,2,,,,,,
0.73,0.7318,2,,,,,,
0.73,0.7318,2.1,,,,,,
0.73,0.7318,2.1,,,,,,
0.73,0.7318,2.1,,,,,,
0.73,0.7318,2,,,,,,
0.73,0.7318,2.1,,,,,,
0.73,0.7318,2.1,,,,,,
0.73,0.7318,2.1,,,,,,
0.73,0.7318,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.72,0.7238,2.1,,,,,,
0.71,0.7118,2.1,,,,,,
0.71,0.7158,2.1,,,,,,
0.71,0.7118,2.1,,,,,,
0.71,0.7118,2.1,,,,,,
0.71,0.7158,2.1,,,,,,
0.71,0.7158,2.1,,,,,,
0.71,0.7118,2.2,,,,,,
0.71,0.7158,2.1,,,,,,
0.71,0.7158,2.2,,,,,,
0.71,0.7158,2.2,,,,,,
0.71,0.7158,2.1,,,,,,
0.7,0.6998,2.2,,,,,,
0.7,0.7038,2.2,,,,,,
0.7,0.7038,2.2,,,,,,
0.7,0.7038,2.2,,,,,,
0.7,0.7038,2.2,,,,,,
0.7,0.7038,2.1,,,,,,
0.7,0.7038,2.1,,,,,,
0.7,0.7038,2.2,,,,,,
0.7,0.7038,2.1,,,,,,
0.7,0.7038,2.2,,,,,,
0.7,0.7038,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6958,2.1,,,,,,
0.69,0.6918,2.1,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.69,0.6918,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6798,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.3,,,,,,
0.68,0.6838,2.2,,,,,,
0.68,0.6838,2.2,,,,,,
0.67,0.6718,2.3,,,,,,
0.67,0.6718,2.2,,,,,,
0.67,0.6758,2.2,,,,,,
0.67,0.6718,2.2,,,,,,
0.67,0.6718,2.2,,,,,,
