Voltage Range: 1.2, , 
Voltage Step Size: 0.05, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
0.20,0.1997,2.6000
0.20,0.1997,2.6000
0.15,0.1517,2.6000
0.15,0.1517,2.6000
0.15,0.1517,2.6000
0.15,0.1517,2.6000
0.15,0.1517,2.6000
0.15,0.1517,2.6000
0.15,0.1517,2.6000
0.15,0.1557,2.6000
0.15,0.1517,2.6000
0.15,0.1557,2.6000
0.15,0.1517,2.7000
0.10,0.1037,2.7000
0.10,0.1037,2.6000
0.10,0.1037,2.7000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.7000
0.10,0.1037,2.7000
0.10,0.1037,2.7000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.7000
0.05,0.0557,2.6000
0.05,0.0557,2.7000
0.05,0.0557,2.7000
0.05,0.0557,2.7000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.7000
0.05,0.0557,2.6000
0.05,0.0557,2.7000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.7000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.7000
0.00,0.0597,2.6000
0.00,0.0597,2.7000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.7000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.00,0.0597,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.7000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.05,0.0557,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.5000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.5000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.10,0.1037,2.6000
0.15,0.1517,2.5000
0.15,0.1557,2.5000
0.15,0.1557,2.6000
0.15,0.1518,2.6000
0.15,0.1518,2.5000
0.15,0.1517,2.6000
0.15,0.1518,2.6000
0.15,0.1517,2.5000
0.15,0.1517,2.6000
0.15,0.1518,2.6000
0.15,0.1518,2.5000
0.20,0.2037,2.5000
0.20,0.1998,2.6000
0.20,0.2038,2.6000
0.20,0.2038,2.5000
0.20,0.2038,2.5000
0.20,0.2038,2.6000
0.20,0.2038,2.5000
0.20,0.1998,2.6000
0.20,0.2038,2.6000
0.20,0.2038,2.6000
0.20,0.2038,2.5000
0.25,0.2518,2.5000
0.25,0.2518,2.6000
0.25,0.2518,2.5000
0.25,0.2518,2.5000
0.25,0.2518,2.5000
0.25,0.2518,2.5000
0.25,0.2517,2.5000
0.25,0.2518,2.6000
0.25,0.2518,2.6000
0.25,0.2517,2.5000
0.25,0.2518,2.5000
0.30,0.2998,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.4000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.30,0.3038,2.5000
0.35,0.3518,2.5000
0.35,0.3518,2.4000
0.35,0.3518,2.5000
0.35,0.3518,2.5000
0.35,0.3518,2.5000
0.35,0.3478,2.5000
0.35,0.3518,2.4000
0.35,0.3518,2.4000
0.35,0.3518,2.5000
0.35,0.3518,2.4000
0.35,0.3518,2.5000
0.40,0.4038,2.4000
0.40,0.4038,2.4000
0.40,0.4038,2.5000
0.40,0.4038,2.4000
0.40,0.4038,2.4000
0.40,0.4038,2.5000
0.40,0.4038,2.4000
0.40,0.3998,2.5000
0.40,0.4038,2.5000
0.40,0.4038,2.5000
0.40,0.4038,2.5000
0.45,0.4558,2.4000
0.45,0.4518,2.4000
0.45,0.4518,2.3000
0.45,0.4518,2.4000
0.45,0.4518,2.4000
0.45,0.4558,2.4000
0.45,0.4518,2.4000
0.45,0.4518,2.4000
0.45,0.4518,2.4000
0.45,0.4558,2.4000
0.45,0.4518,2.4000
0.50,0.5038,2.4000
0.50,0.5038,2.4000
0.50,0.5038,2.3000
0.50,0.5038,2.3000
0.50,0.5038,2.4000
0.50,0.5038,2.4000
0.50,0.5038,2.4000
0.50,0.5038,2.4000
0.50,0.5038,2.3000
0.50,0.5038,2.4000
0.50,0.5038,2.4000
0.55,0.5518,2.3000
0.55,0.5518,2.4000
0.55,0.5518,2.3000
0.55,0.5518,2.4000
0.55,0.5518,2.3000
0.55,0.5518,2.3000
0.55,0.5518,2.3000
0.55,0.5518,2.3000
0.55,0.5518,2.3000
0.55,0.5518,2.4000
0.55,0.5518,2.3000
0.60,0.5998,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.2000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.5998,2.3000
0.60,0.6038,2.2000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.60,0.6038,2.3000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.3000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.65,0.6518,2.2000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.70,0.7038,2.1000
0.75,0.7518,1.9000
0.75,0.7518,2.0000
0.75,0.7518,2.0000
0.75,0.7518,2.0000
0.75,0.7518,1.9000
0.75,0.7518,2.0000
0.75,0.7518,1.9000
0.75,0.7518,1.9000
0.75,0.7518,1.9000
0.75,0.7518,2.0000
0.75,0.7518,1.9000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.8000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.7000
0.80,0.8038,1.8000
0.85,0.8519,1.4000
0.85,0.8519,1.4000
0.85,0.8519,1.4000
0.85,0.8519,1.5000
0.85,0.8519,1.5000
0.85,0.8559,1.4000
0.85,0.8519,1.4000
0.85,0.8559,1.5000
0.85,0.8519,1.5000
0.85,0.8519,1.4000
0.85,0.8559,1.5000
0.90,0.9039,1.1000
0.90,0.9039,1.1000
0.90,0.9039,1.0000
0.90,0.9039,1.0000
0.90,0.9039,1.0000
0.90,0.9039,1.1000
0.90,0.9039,1.1000
0.90,0.9039,1.0000
0.90,0.9039,1.1000
0.90,0.9039,1.1000
0.90,0.9039,1.0000
0.95,0.9520,0.5000
0.95,0.9560,0.6000
0.95,0.9560,0.5000
0.95,0.9520,0.5000
0.95,0.9560,0.5000
0.95,0.9520,0.6000
0.95,0.9560,0.5000
0.95,0.9520,0.5000
0.95,0.9560,0.6000
0.95,0.9560,0.5000
0.95,0.9560,0.5000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.3000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.00,1.0040,-0.2000
1.05,1.0521,-1.2000
1.05,1.0561,-1.2000
1.05,1.0521,-1.2000
1.05,1.0521,-1.1000
1.05,1.0521,-1.2000
1.05,1.0561,-1.1000
1.05,1.0521,-1.1000
1.05,1.0561,-1.2000
1.05,1.0561,-1.1000
1.05,1.0521,-1.1000
1.05,1.0561,-1.1000
1.10,1.1042,-2.4000
1.10,1.1042,-2.4000
1.10,1.1042,-2.4000
1.10,1.1042,-2.4000
1.10,1.1042,-2.4000
1.10,1.1042,-2.3000
1.10,1.1042,-2.3000
1.10,1.1042,-2.3000
1.10,1.1042,-2.4000
1.10,1.1042,-2.3000
1.10,1.1042,-2.4000
1.15,1.1524,-3.7000
1.15,1.1524,-3.7000
1.15,1.1524,-3.8000
1.15,1.1524,-3.7000
1.15,1.1524,-3.7000
1.15,1.1564,-3.7000
1.15,1.1524,-3.7000
1.15,1.1524,-3.7000
1.15,1.1524,-3.7000
1.15,1.1524,-3.6000
1.15,1.1524,-3.7000
