Voltage Range: 1.2, , 
Voltage Step Size: 0.01, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
0.63,0.632,0.1
0.63,0.632,0
0.63,0.632,0.1
0.62,0.62,0
0.62,0.624,0.1
0.62,0.624,0.1
0.62,0.62,0.1
0.62,0.624,0
0.62,0.62,0.1
0.62,0.62,0.1
0.62,0.62,0.1
0.62,0.62,0.1
0.62,0.624,0.1
0.62,0.624,0.1
0.61,0.612,0.1
0.61,0.612,0
0.61,0.612,0.1
0.61,0.612,0.1
0.61,0.612,0
0.61,0.612,0.1
0.61,0.612,0.1
0.61,0.612,0
0.61,0.612,0.1
0.61,0.612,0.1
0.61,0.612,0
0.6,0.604,0.1
0.6,0.604,0
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.6,0.1
0.6,0.604,0.1
0.59,0.592,0
0.59,0.592,0.1
0.59,0.592,0
0.59,0.592,0
0.59,0.592,0.1
0.59,0.592,0.1
0.59,0.592,0.1
0.59,0.592,0.1
0.59,0.592,0.1
0.59,0.592,0.1
0.59,0.592,0
0.58,0.58,0.1
0.58,0.58,0.1
0.58,0.584,0.1
0.58,0.584,0.1
0.58,0.58,0.1
0.58,0.58,0.1
0.58,0.58,0.1
0.58,0.58,0
0.58,0.584,0.1
0.58,0.584,0.1
0.58,0.58,0.1
0.57,0.572,0
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.572,0.1
0.57,0.576,0
0.57,0.572,0.1
0.56,0.56,0.1
0.56,0.564,0.1
0.56,0.56,0.1
0.56,0.56,0.1
0.56,0.564,0.1
0.56,0.56,0.1
0.56,0.56,0.1
0.56,0.564,0.1
0.56,0.56,0.1
0.56,0.564,0.1
0.56,0.56,0.1
0.55,0.552,0.1
0.55,0.552,0
0.55,0.552,0
0.55,0.552,0.1
0.55,0.552,0.1
0.55,0.552,0.1
0.55,0.552,0
0.55,0.552,0.1
0.55,0.552,0.1
0.55,0.552,0.1
0.55,0.552,0.1
0.54,0.54,0.1
0.54,0.544,0.1
0.54,0.54,0
0.54,0.544,0.1
0.54,0.54,0.1
0.54,0.54,0.1
0.54,0.544,0.1
0.54,0.54,0.1
0.54,0.54,0.1
0.54,0.54,0.1
0.54,0.544,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.53,0.532,0.1
0.52,0.524,0.1
0.52,0.524,0.1
0.52,0.524,0.1
0.52,0.52,0.1
0.52,0.524,0.1
0.52,0.524,0.1
0.52,0.524,0.1
0.52,0.524,0.1
0.52,0.524,0.1
0.52,0.524,0
0.52,0.524,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.51,0.512,0.1
0.5,0.504,0.1
0.5,0.504,0.1
