Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
19.0220,0.78,0.8020,-0.1000,0.7960,0.0000,0.8010,-0.2000,0.7982,-1.6000,0.8000,0.0750,0.7933,-2.5500,0.7921,-0.6000,0.7990,0.0250,0.7940,-0.1000,0.7970,0.0500,0.7990,0.1250,0.7970,-10.2250,0.7880,0.1500,0.7963,-3.0250,0.7930,0.0500,0.7880,-0.3250,0.7907,-7.2500,0.7880,0.3500,0.7950,0.4250,0.7880,0.1500,0.7844,-3.6000,0.0118,-17.5500,0.7801,-0.9000,0.7852,-1.6000,0.7917,2.5500,0.7997,3.5000,0.7800,0.4750,0.0098,-17.7250,0.7880,0.0250,0.7878,2.2000,0.7830,0.1250,0.7880,0.0750,0
20.2930,0.75,0.7720,0.2250,0.7640,0.1000,0.7700,-0.1250,0.7681,-1.3000,0.7700,0.0750,0.7642,-2.3000,0.7641,-0.5000,0.7680,0.1500,0.7640,0.1000,0.7670,0.0250,0.7700,0.1250,0.7670,-9.6250,0.7600,0.1250,0.7653,-2.7250,0.7630,0.0500,0.7580,-0.0750,0.7606,-6.2750,0.7600,0.6250,0.7629,1.1250,0.7570,0.1000,0.7523,-3.3000,0.0128,-17.7500,0.7511,-0.7000,0.7571,-1.2750,0.7637,3.4250,0.7697,3.3000,0.7509,0.8500,0.0098,-17.6750,0.7600,0.0500,0.7577,3.0750,0.7520,0.1500,0.7560,0.0000,0
21.5640,0.72,0.7440,0.3500,0.7360,0.2250,0.7430,-0.0250,0.7401,-1.2000,0.7400,0.1000,0.7352,-2.0500,0.7340,-0.3500,0.7400,0.4750,0.7360,0.2000,0.7390,0.0250,0.7400,0.1000,0.7379,-9.0750,0.7320,0.1750,0.7373,-2.5500,0.7330,0.0000,0.7280,0.3000,0.7326,-6.0250,0.7319,1.0000,0.7359,1.6250,0.7280,0.1000,0.7263,-3.0500,0.0108,-17.6500,0.7221,-0.6500,0.7281,-0.6250,0.7327,3.1750,0.7396,3.6750,0.7219,1.1750,0.0098,-17.7250,0.7320,0.0250,0.7277,3.2000,0.7240,0.1750,0.7310,0.0750,0
22.8340,0.69,0.7149,0.5250,0.7080,0.4750,0.7150,-0.0250,0.7111,-0.9250,0.7120,0.0250,0.7042,-1.8500,0.7070,-0.1750,0.7100,0.5000,0.7080,0.3000,0.7090,0.0000,0.7120,0.1000,0.7098,-8.4250,0.7030,0.1750,0.7102,-2.3500,0.7040,0.0250,0.7000,0.4000,0.7045,-5.4250,0.7039,1.4000,0.7078,1.6500,0.7020,0.1000,0.6993,-2.8000,0.0118,-17.4750,0.6930,-0.4000,0.7001,-0.4250,0.7066,3.5500,0.7116,4.2500,0.6929,1.2250,0.0098,-17.7250,0.7040,0.0000,0.6997,3.0250,0.6950,0.1000,0.7000,0.0750,0
24.1050,0.66,0.6839,0.7000,0.6800,0.4000,0.6840,0.0250,0.6821,-0.7500,0.6840,0.0000,0.6762,-1.6250,0.6760,-0.2000,0.6809,0.6250,0.6780,0.4500,0.6800,0.0500,0.6840,0.1250,0.6808,-7.9250,0.6730,0.1500,0.6802,-2.1000,0.6760,0.0250,0.6719,0.5500,0.6765,-4.6500,0.6729,1.2750,0.6798,2.3750,0.6720,0.1000,0.6693,-2.5250,0.0107,-17.8500,0.6650,-0.4000,0.6720,-0.1500,0.6756,4.0750,0.6836,3.6750,0.6658,1.6250,0.0098,-17.7000,0.6740,0.0250,0.6696,3.8750,0.6670,0.1000,0.6720,0.1000,0
25.3750,0.63,0.6559,0.6250,0.6509,0.6000,0.6560,0.0750,0.6531,-0.7250,0.6560,0.0000,0.6482,-1.5000,0.6490,-0.0750,0.6519,0.7750,0.6480,0.3750,0.6500,0.0500,0.6530,0.0750,0.6527,-7.3750,0.6440,0.1750,0.6522,-1.9000,0.6480,0.0250,0.6439,0.7000,0.6484,-4.6250,0.6478,1.7750,0.6508,2.4500,0.6440,0.1000,0.6412,-2.2500,0.0098,-17.6500,0.6380,-0.2750,0.6440,0.2750,0.6476,3.4750,0.6545,4.6000,0.6378,1.7750,0.0098,-17.7250,0.6450,0.0000,0.6407,3.4000,0.6400,0.0750,0.6440,0.1000,0
26.6450,0.60,0.6279,0.7750,0.6209,0.6500,0.6270,0.0500,0.6240,-0.4750,0.6240,0.0000,0.6191,-1.2750,0.6200,-0.0250,0.6229,0.6750,0.6190,0.4750,0.6220,0.0250,0.6240,0.0750,0.6217,-6.7500,0.6140,0.0750,0.6212,-1.8000,0.6200,0.0250,0.6119,0.6500,0.6194,-3.6250,0.6158,1.7500,0.6197,2.4000,0.6150,0.1250,0.6122,-2.0750,0.0128,-17.6250,0.6080,-0.1750,0.6150,0.1250,0.6196,4.3500,0.6236,4.3000,0.6078,1.8250,0.0098,-17.7500,0.6160,0.0000,0.6116,3.8750,0.6080,0.1000,0.6160,0.0500,0
27.9160,0.57,0.5979,0.7000,0.5919,0.6750,0.5970,0.1250,0.5961,-0.5000,0.5960,0.0000,0.5901,-1.1250,0.5880,-0.0250,0.5939,0.9000,0.5880,0.4250,0.5920,0.0500,0.5930,0.0250,0.5926,-6.3000,0.5850,0.0500,0.5922,-1.6000,0.5900,0.0750,0.5839,0.8750,0.5894,-3.4500,0.5878,1.8000,0.5917,2.9500,0.5840,0.0750,0.5842,-1.7750,0.0118,-17.5250,0.5800,-0.2250,0.5869,0.6000,0.5916,3.9500,0.5955,4.2500,0.5798,2.2000,0.0098,-17.7500,0.5880,0.0000,0.5837,4.0250,0.5800,0.0750,0.5870,0.0250,0
29.1860,0.54,0.5679,0.7500,0.5639,0.7750,0.5680,0.1000,0.5660,-0.2000,0.5670,0.0000,0.5601,-1.0000,0.5600,0.1000,0.5639,0.7250,0.5599,0.4750,0.5610,0.0250,0.5670,0.0500,0.5646,-5.7500,0.5560,0.0500,0.5641,-1.4750,0.5600,0.0000,0.5559,0.7000,0.5633,-2.8250,0.5588,2.0250,0.5637,2.5000,0.5560,0.0750,0.5552,-1.5500,0.0108,-17.5750,0.5520,0.0250,0.5560,0.4750,0.5635,4.2500,0.5676,4.7000,0.5498,1.9750,0.0098,-17.7500,0.5600,0.0000,0.5556,3.7250,0.5520,0.0500,0.5580,0.1000,0
30.4560,0.51,0.5389,0.7500,0.5319,0.7000,0.5400,0.2000,0.5360,-0.2000,0.5370,0.0000,0.5321,-0.8750,0.5310,0.1000,0.5359,0.9500,0.5310,0.5000,0.5330,0.0500,0.5380,0.0500,0.5335,-5.3500,0.5280,0.0750,0.5351,-1.3000,0.5320,0.0500,0.5279,0.8750,0.5323,-2.5000,0.5278,1.8250,0.5357,3.2500,0.5270,0.0750,0.5241,-1.3000,0.0108,-17.5750,0.5240,-0.0250,0.5269,0.8750,0.5316,4.2250,0.5355,4.1750,0.5218,2.4500,0.0098,-17.7750,0.5300,0.0000,0.5256,4.2250,0.5240,0.0500,0.5290,0.0000,0
