D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0
15.691329	0.047857	0.0048203125	15.691329	0.007616	0.002265625	15.691329	0.723938	14.41790625	15.691329	-0.012142	-0.0037578125	15.691329	-0.041823	0.009640625	15.691329	0.71302	16.0068125	15.691329	0.721535	14.574484374999999	15.691329	-0.009157	0.00390625
16.220083	0.03522	0.0020234375	16.220083	0.010357	0.0041953125	16.220083	0.727771	14.33909375	16.220083	-0.002042	0.002984375	16.220083	0.003548	0.0015390624999999998	16.220083	0.718508	15.886296875000001	16.220083	0.723926	14.575398437499999	16.220083	0.010532	-0.0019765625
16.742638	-0.009875	-0.0054921875	16.742638	-0.009792	-0.0002421875	16.742638	0.724165	14.418484375	16.742638	-0.03022	-0.003953125	16.742638	0.028657	-0.0133515625	16.742638	0.718418	15.8723203125	16.742638	0.723354	14.5148515625	16.742638	0.069765	-0.005015625
17.027361	-0.044875	-0.004242187499999999	17.027361	-0.052411	-0.0044375000000000005	17.027361	0.725884	14.37596875	17.027361	-0.024826	0.012531249999999999	17.027361	-0.006119	0.0168671875	17.027361	0.71675	15.937062500000001	17.027361	0.727318	14.4505	17.027361	0.067191	0.0019296874999999998
17.55113	-0.09234	-0.0063593750000000004	17.55113	-0.10703	-0.0029374999999999996	17.55113	0.72216	14.4575859375	17.55113	0.008391	0.0025546874999999997	17.55113	0.006073	-0.007953125	17.55113	0.7165	15.916671874999999	17.55113	0.727109	14.435359374999999	17.55113	0.03272	0.0010156249999999998
18.076435	-0.175727	-0.002703125	18.076435	-0.097164	0.006992187499999999	18.076435	0.7183	14.544015625	18.076435	0.044082	0.00038281249999999996	18.076435	-0.044178	0.005640625	18.076435	0.71652	15.914304687499998	18.076435	0.729375	14.42740625	18.076435	0.008153	-0.0053046875
18.60701	-0.15886	-0.007132812499999999	18.60701	-0.052392	-0.003421875	18.60701	0.720263	14.500484375000001	18.60701	0.00584	0.0093984375	18.60701	-0.016665	0.0021171874999999997	18.60701	0.718292	15.876945312500002	18.60701	0.731064	14.3592421875	18.60701	-0.013938	-0.00684375
19.135708	-0.16852	-0.008578125	19.135708	-0.007053	-0.0044375000000000005	19.135708	0.718197	14.5357734375	19.135708	0.028691	-0.0065078125	19.135708	0.011208	0.00178125	19.135708	0.716326	15.911031249999999	19.135708	0.729208	14.40546875	19.135708	0.005672	-0.00790625
19.659397	-0.148889	0.0014921875	19.659397	-0.037444	-0.0136875	19.659397	0.724065	14.4272578125	19.659397	0.008244	-0.002890625	19.659397	-0.009098	-0.0009140624999999999	19.659397	0.718232	15.8695703125	19.659397	0.729234	14.4168515625	19.659397	0.010608	0.0031796875000000002
20.189169	-0.104942	-0.005734375	20.189169	-0.106732	-0.013929687500000001	20.189169	0.722165	14.464382812499998	20.189169	0.015825	-0.017593750000000002	20.189169	-0.069473	-0.002703125	20.189169	0.714742	15.964296874999999	20.189169	0.733298	14.34540625	20.189169	0.003129	0.0029374999999999996
20.716368	-0.074777	-0.001640625	20.716368	-0.096982	0.011859375	20.716368	0.724033	14.4209921875	20.716368	-0.004624	0.0075234375	20.716368	-0.056711	0.0038593749999999995	20.716368	0.714536	15.958078125	20.716368	0.738801	14.212796874999999	20.716368	0.005649	0.0026015625
21.011429	-0.059595	-0.010023437500000001	21.011429	-0.062333	-0.0025078125	21.011429	0.722209	14.4608125	21.011429	0.046582	-0.0007734374999999999	21.011429	-0.021577	-0.0002890625	21.011429	0.716404	15.8982109375	21.011429	0.735396	14.3162890625	21.011429	-0.001802	-0.009734375
21.535711	-0.024841	0.003328125	21.535711	-0.014629	0.003328125	21.535711	0.720253	14.5148984375	21.535711	0.015849	-0.0013984375	21.535711	-0.039248	-0.0071796875	21.535711	0.716325	15.908859375	21.535711	0.733281	14.3573125	21.535711	-0.041506	-0.006171875
22.0623	0.002845	0.006703125	22.0623	-0.027199	-0.0104609375	22.0623	0.718321	14.5515859375	22.0623	-0.00974	-0.002890625	22.0623	-0.031606	0.013015625	22.0623	0.712659	15.9882578125	22.0623	0.735227	14.3118125	22.0623	-0.081087	-0.0043828124999999996
22.591715	0.005217	-0.0069453125	22.591715	-0.019485	-0.00159375	22.591715	0.718367	14.5438203125	22.591715	-0.014841	0.0	22.591715	-0.001375	0.0041953125	22.591715	0.716265	15.900085937499998	22.591715	0.737317	14.28746875	22.591715	-0.041416	-0.0002421875
23.117434	-0.039867	-0.00390625	23.117434	0.020437	0.0006718750000000001	23.117434	0.718319	14.535625	23.117434	0.036284	0.009210937499999999	23.117434	0.008651	0.000625	23.117434	0.71262	15.984734375	23.117434	0.741626	14.247023437500001	23.117434	-0.014114	0.0066484375
23.641762	-0.024898	-0.0093984375	23.641762	0.000501	0.0041953125	23.641762	0.71644	14.590921875	23.641762	0.018621	0.0143203125	23.641762	0.011092	0.0048203125	23.641762	0.716296	15.904132812499999	23.641762	0.749151	14.105921875	23.641762	0.013242	0.0059296875
24.171667	-0.022572	-0.0092578125	24.171667	0.020523	0.0058828125	24.171667	0.712376	14.656	24.171667	-0.004629	0.0001953125	24.171667	0.043644	0.0020234375	24.171667	0.716187	15.899507812500001	24.171667	0.748888	14.075890625	24.171667	-0.009113	0.002125
24.700041	-0.012338	-0.0018828125	24.700041	0.080421	0.0058359375	24.700041	0.71439	14.6200390625	24.700041	-0.009744	-0.00033593750000000003	24.700041	-0.001795	-0.01315625	24.700041	0.712547	15.981890624999998	24.700041	0.748887	14.07309375	24.700041	-0.038974	0.012
25.225748	-0.007282	0.0010625	25.225748	0.067731	-0.0043828124999999996	25.225748	0.71245	14.6546953125	25.225748	-0.040513	-0.0053046875	25.225748	-0.051845	-0.0021718749999999998	25.225748	0.716212	15.892421875	25.225748	0.752681	14.00921875	25.225748	0.013172	0.0002421875
25.507261	0.000365	0.0031796875000000002	25.507261	0.03787	-0.001640625	25.507261	0.710355	14.7004921875	25.507261	-0.040448	0.00675	25.507261	-0.046799	-0.0188984375	25.507261	0.716135	15.8966640625	25.507261	0.747318	14.1447734375	25.507261	0.057821	0.0086796875
26.030643	0.01533	-0.0049140625	26.030643	-0.002049	0.0047265625	26.030643	0.71043	14.6931171875	26.030643	-0.007172	0.0135	26.030643	-0.026712	-0.0053046875	26.030643	0.717946	15.858632812499998	26.030643	0.74707	14.1225078125	26.030643	0.092032	0.0037578125
26.554638	-0.034792	-0.0103125	26.554638	0.015244	0.00033593750000000003	26.554638	0.714427	14.6225390625	26.554638	0.026197	0.0048671875	26.554638	-0.041721	0.00240625	26.554638	0.714356	15.940289062500002	26.554638	0.74704	14.108523437499999	26.554638	0.062165	0.00684375
27.081894	-0.074562	0.00038281249999999996	27.081894	-0.004674	-0.006796875	27.081894	0.720219	14.506218749999999	27.081894	0.000679	0.004	27.081894	-0.009038	-0.0088203125	27.081894	0.712322	15.978085937500001	27.081894	0.748739	14.073	27.081894	0.092001	0.00515625
27.611341	-0.032391	-0.007132812499999999	27.611341	-0.064818	0.0008671875	27.611341	0.718494	14.549171874999999	27.611341	0.00061	0.010078124999999999	27.611341	0.016174	-0.012054687500000001	27.611341	0.712351	15.97740625	27.611341	0.745264	14.1691171875	27.611341	0.087024	-0.00053125
28.136505	0.01271	-0.00053125	28.136505	-0.049876	-0.006124999999999999	28.136505	0.716441	14.58359375	28.136505	0.04166	0.011421875	28.136505	-0.004145	-0.0062656249999999995	28.136505	0.710484	16.020312500000003	28.136505	0.741469	14.2396484375	28.136505	0.050188	0.0030390625
28.662622	-0.007213	0.010890625000000001	28.662622	-0.00458	-0.0050625	28.662622	0.714697	14.6364765625	28.662622	0.013409	0.0065546875	28.662622	-0.036526	0.017109375	28.662622	0.706732	16.0856796875	28.662622	0.741329	14.2432578125	28.662622	-0.001837	-0.00675
29.192602	0.012831	0.0058359375	29.192602	-0.002024	0.00053125	29.192602	0.710611	14.702804687499999	29.192602	-0.012265	0.005109374999999999	29.192602	0.006083	-0.0076171875	29.192602	0.708702	16.0476953125	29.192602	0.739331	14.2728125	29.192602	-0.051399	0.0019296874999999998
29.716776	0.045281	0.0038593749999999995	29.716776	-0.032246	0.0032265625	29.716776	0.710613	14.6955703125	29.716776	0.008201	-0.005015625	29.716776	0.011017	0.001734375	29.716776	0.710326	15.999484375000002	29.716776	0.741239	14.2289921875	29.716776	-0.034002	-0.0172578125
