D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Fw__scan0	D1__testMartin__p8__Dark__Fw__scan0
1.153	0.0036640625000000002	0.04542	-0.0018281249999999999	1.15358	-0.0160078125	0.048376	-0.00684375	1.16581	-13.4268046875	0.04761	-0.048015625	1.154187	0.00578125	0.047227	-0.0149453125	1.154695	0.0044375000000000005	0.049308	-0.005015625	1.165012	-9.1016953125	0.053778	0.0993046875	1.170519	-17.282289062500002	0.046206	-0.005203125	1.151431	-0.00038281249999999996	0.048356	-0.0022187500000000002
1.143132	-0.0062656249999999995	0.060369	-0.0149453125	1.143893	0.0018281249999999999	0.058339	0.017453125	1.153392	-12.4992265625	0.05728	-0.07346874999999999	1.140197	0.01359375	0.062774	-0.00684375	1.145239	-0.015328125000000001	0.05972	-0.003953125	1.151447	-8.290882812500001	0.053706	0.1016171875	1.157	-16.0369453125	0.060814	-0.04753125	1.146296	0.01234375	0.058174	0.001640625
1.132906	0.0172578125	0.070572	-0.017351562499999997	1.129189	-0.0062656249999999995	0.073132	-0.009156250000000001	1.140831	-11.6076171875	0.071478	-0.1236953125	1.130569	0.00328125	0.06804	0.004242187499999999	1.126072	0.00665625	0.069845	0.0241015625	1.140725	-7.6540859375	0.073482	0.083203125	1.143453	-14.8185	0.071742	0.012921875000000001	1.126446	-0.00578125	0.072853	-0.010703124999999999
1.118044	-0.005976562499999999	0.085511	-0.005203125	1.119756	0.0105078125	0.07857	0.0154296875	1.12789	-10.7136953125	0.0811	-0.141046875	1.121532	-0.0007734374999999999	0.083292	0.016585937499999998	1.121282	0.010023437500000001	0.085012	-0.00559375	1.126401	-6.8907968749999995	0.083471	0.075296875	1.131429	-13.866921875	0.081922	-0.02034375	1.116581	0.0007734374999999999	0.082908	0.0065546875
1.103666	-0.005109374999999999	0.095864	0.00453125	1.105042	-0.0038593749999999995	0.09326	-0.007421875	1.117352	-10.03534375	0.095522	-0.18539843749999999	1.10755	-0.0081953125	0.098649	-0.00328125	1.106874	-0.0014453125	0.094868	-0.0086796875	1.115239	-6.263453125	0.093442	0.097953125	1.119173	-12.925273437500001	0.096723	-0.042328125	1.106581	-0.010125	0.092943	0.028054687499999998
1.093805	0.0062656249999999995	0.105782	-0.003953125	1.095592	-0.00125	0.108275	0.00578125	1.106664	-9.364421875000001	0.105128	-0.23312499999999997	1.093318	-0.0136875	0.103689	-0.0077109375	1.097003	-0.0073281250000000004	0.105117	0.015328125000000001	1.103865	-5.68671875	0.108761	0.08455468749999999	1.107167	-11.9535390625	0.106706	-0.047820312499999997	1.096842	-0.01128125	0.107515	0.0022187500000000002
1.083968	-0.0104140625	0.115698	0.0158125	1.085811	0.010796875	0.118402	-0.0054921875	1.092752	-8.5727890625	0.119416	-0.26233593749999995	1.084501	0.01128125	0.118852	-0.01821875	1.077802	0.0018281249999999999	0.120147	0.013398437499999999	1.08959	-4.9852265625	0.113586	0.0830078125	1.094332	-11.076585937499999	0.116739	-0.06787499999999999	1.0819	0.004046875	0.117604	0.00328125
1.074339	-0.008484374999999999	0.13109	-0.0010625	1.071166	-0.010023437500000001	0.133589	0.0132109375	1.078223	-7.7876171874999995	0.129071	-0.30128125	1.070261	0.029984374999999997	0.12927	0.014265624999999999	1.073021	-0.00346875	0.130406	-0.0018281249999999999	1.080644	-4.5634296875	0.133437	0.0789609375	1.081119	-10.1900859375	0.131809	-0.08503124999999999	1.071799	-0.01359375	0.132361	-0.0121484375
1.0548	-0.00559375	0.140944	-0.0023125	1.056827	-0.014656250000000001	0.138523	0.0041484375	1.066452	-7.197578125000001	0.138894	-0.3370546875	1.060982	-0.0145546875	0.144352	0.0020234375	1.058926	-0.00453125	0.140327	0.013015625	1.065337	-3.9435078125	0.143435	0.0851328125	1.070496	-9.5158828125	0.141854	-0.10074999999999999	1.057238	-0.005109374999999999	0.137419	-0.00346875
1.049763	-0.0213046875	0.155641	-0.008578125	1.047127	0.011570312499999999	0.153389	-0.013109375	1.054056	-6.6606640625	0.158224	-0.397890625	1.046915	-0.0069453125	0.154715	-0.004046875	1.049336	-0.0047265625	0.155585	0.0109921875	1.055868	-3.5278750000000003	0.153403	0.0637265625	1.055869	-8.756640625	0.151953	-0.1051875	1.047292	0.0021171874999999997	0.156894	-0.0144609375
