run with version 1.0
Val1: 0.80, Val2: 0.09, Val3: 5, Val4: 5
Perturb and Observe
1, 1.70, 23.73,     1.52, 23.75,     1.61, 23.72
2, 0.74, 1.41,     0.56, 1.37,     0.65, 1.45
3, 0.68, 0.88,     0.50, 1.02,     0.59, 1.02
4, 1.58, 22.06,     1.40, 19.73,     1.49, 22.15
5, 1.04, 0.06,     0.86, 0.09,     0.95, 0.08
6, 0.98, 0.96,     0.80, 1.91,     0.89, 1.64
7, 0.98, 0.83,     0.80, 1.78,     0.89, 1.54

0, 0.59, 0.74,     0.41, 0.79,     0.50, 0.81
1, 1.67, 23.69,     1.49, 23.84,     1.58, 23.90
2, 0.77, 1.35,     0.59, 1.46,     0.68, 1.47
3, 0.65, 0.98,     0.47, 0.99,     0.56, 1.05
4, 1.61, 22.01,     1.43, 22.09,     1.52, 22.13
5, 1.01, 0.08,     0.83, 0.08,     0.92, 0.07
6, 0.95, 1.26,     0.77, 1.85,     0.86, 1.76
7, 0.95, 1.07,     0.77, 1.77,     0.86, 1.63

0, 0.56, 0.78,     0.38, 0.75,     0.47, 0.82
1, 1.64, 23.82,     1.46, 22.58,     1.55, 23.89
2, 0.74, 1.42,     0.56, 1.40,     0.65, 1.46
3, 0.62, 1.01,     0.44, 0.93,     0.53, 1.02
4, 1.58, 22.16,     1.40, 20.05,     1.49, 22.08
5, 0.98, 0.10,     0.80, 0.06,     0.89, 0.09
6, 0.92, 1.40,     0.74, 1.83,     0.83, 1.78
7, 0.92, 1.26,     0.74, 1.73,     0.83, 1.69

0, 0.59, 0.75,     0.41, 0.79,     0.50, 0.81
1, 1.67, 23.77,     1.49, 23.80,     1.58, 23.86
2, 0.77, 1.32,     0.59, 1.47,     0.68, 1.47
3, 0.65, 0.95,     0.47, 0.97,     0.56, 1.05
4, 1.61, 21.76,     1.43, 22.08,     1.52, 22.12
5, 1.01, 0.06,     0.83, 0.07,     0.92, 0.07
6, 0.89, 1.55,     0.71, 1.76,     0.80, 1.80
7, 0.89, 1.43,     0.71, 1.65,     0.80, 1.67

0, 0.56, 0.80,     0.38, 0.75,     0.47, 0.79
1, 1.64, 23.84,     1.46, 22.49,     1.55, 23.88
2, 0.74, 1.42,     0.56, 1.39,     0.65, 1.45
3, 0.62, 1.01,     0.44, 0.93,     0.53, 1.03
4, 1.58, 22.10,     1.40, 20.20,     1.49, 22.04
5, 0.98, 0.10,     0.80, 0.06,     0.89, 0.09
6, 0.86, 1.62,     0.68, 1.72,     0.77, 1.78
7, 0.86, 1.52,     0.68, 1.59,     0.77, 1.72

0, 0.59, 0.74,     0.41, 0.78,     0.50, 0.79
1, 1.67, 23.85,     1.49, 23.81,     1.58, 23.80
2, 0.77, 1.31,     0.59, 1.46,     0.68, 1.45
3, 0.65, 0.95,     0.47, 0.98,     0.56, 1.03
4, 1.61, 22.11,     1.43, 22.05,     1.52, 22.08
5, 1.01, 0.10,     0.83, 0.08,     0.92, 0.09
6, 0.83, 1.71,     0.65, 1.66,     0.74, 1.79
7, 0.83, 1.58,     0.65, 1.57,     0.74, 1.67

0, 0.56, 0.76,     0.38, 0.75,     0.47, 0.79
1, 1.70, 23.70,     1.52, 23.83,     1.61, 23.85
2, 0.74, 1.38,     0.56, 1.38,     0.65, 1.45
3, 0.62, 1.02,     0.44, 0.93,     0.53, 1.04
4, 1.64, 21.91,     1.46, 22.08,     1.55, 22.13
5, 1.04, 0.06,     0.86, 0.07,     0.95, 0.09
6, 0.86, 1.59,     0.68, 1.72,     0.77, 1.78
7, 0.86, 1.47,     0.68, 1.62,     0.77, 1.66

0, 0.59, 0.73,     0.41, 0.77,     0.50, 0.80
1, 1.67, 23.73,     1.49, 23.84,     1.58, 23.84
2, 0.71, 1.42,     0.53, 1.34,     0.62, 1.42
3, 0.65, 0.94,     0.47, 0.99,     0.56, 1.03
4, 1.61, 22.25,     1.43, 22.08,     1.52, 22.10
5, 1.01, 0.06,     0.83, 0.08,     0.92, 0.04
6, 0.83, 1.68,     0.65, 1.65,     0.74, 1.73
7, 0.83, 1.55,     0.65, 1.57,     0.74, 1.67

0, 0.56, 0.75,     0.38, 0.74,     0.47, 0.79
1, 1.64, 23.75,     1.46, 22.34,     1.55, 23.89
2, 0.74, 1.35,     0.56, 1.40,     0.65, 1.46
3, 0.62, 1.01,     0.44, 0.93,     0.53, 1.02
4, 1.64, 21.92,     1.46, 22.11,     1.55, 22.09
5, 0.98, 0.06,     0.80, 0.08,     0.89, 0.07
6, 0.86, 1.70,     0.68, 1.60,     0.77, 1.71
7, 0.80, 1.43,     0.62, 1.62,     0.71, 1.66

0, 0.59, 0.74,     0.41, 0.78,     0.50, 0.80
1, 1.67, 23.84,     1.49, 23.87,     1.58, 23.85
2, 0.71, 1.40,     0.53, 1.32,     0.62, 1.39
3, 0.65, 0.96,     0.47, 0.98,     0.56, 1.00
4, 1.61, 22.49,     1.43, 22.02,     1.52, 22.19
5, 0.95, 0.02,     0.77, 0.06,     0.86, 0.09
6, 0.89, 1.72,     0.71, 1.54,     0.80, 1.64
7, 0.77, 1.30,     0.59, 1.65,     0.68, 1.62

0, 0.56, 0.77,     0.38, 0.75,     0.47, 0.79
1, 1.64, 23.80,     1.46, 22.44,     1.55, 23.79
2, 0.74, 1.38,     0.56, 1.39,     0.65, 1.43
3, 0.62, 0.99,     0.44, 0.93,     0.53, 1.00
4, 1.64, 21.89,     1.46, 22.13,     1.55, 22.10
5, 0.92, 0.05,     0.74, 0.04,     0.83, 0.08
6, 0.92, 1.71,     0.74, 1.47,     0.83, 1.62
7, 0.74, 1.16,     0.56, 1.70,     0.65, 1.58

0, 0.59, 0.72,     0.41, 0.77,     0.50, 0.79
1, 1.67, 23.81,     1.49, 23.82,     1.58, 23.78
2, 0.71, 1.42,     0.53, 1.32,     0.62, 1.41
3, 0.65, 0.96,     0.47, 0.96,     0.56, 1.01
4, 1.61, 21.92,     1.43, 22.08,     1.52, 22.09
5, 0.95, 0.08,     0.77, 0.08,     0.86, 0.09
6, 0.95, 1.68,     0.77, 1.39,     0.86, 1.55
7, 0.71, 0.91,     0.53, 1.70,     0.62, 1.54

0, 0.56, 0.74,     0.38, 0.75,     0.47, 0.81
1, 1.64, 23.77,     1.46, 22.58,     1.55, 23.86
2, 0.74, 1.35,     0.56, 1.40,     0.65, 1.43
3, 0.68, 0.90,     0.50, 1.01,     0.59, 1.03
4, 1.58, 22.05,     1.40, 19.98,     1.49, 22.14
5, 0.92, 0.04,     0.74, 0.07,     0.83, 0.08
6, 0.98, 1.65,     0.80, 1.32,     0.89, 1.50
7, 0.68, 0.67,     0.50, 1.75,     0.59, 1.41

0, 0.53, 0.77,     0.35, 0.71,     0.44, 0.78
1, 1.67, 23.76,     1.49, 23.80,     1.58, 23.75
