Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
8.7470,0.81,0.8400,0.0667,0.8347,0.1000,0.8400,0.1000,0.8373,0.1000,0.8400,0.0667,0.8320,0.0000,0.8320,0.1333,0.8386,0.5333,0.8333,0.7000,0.8360,0.1000,0.8373,0.1333,0.8373,0.4333,0.8281,-0.8333,0.8361,-0.8000,0.8321,-0.8000,0.8279,0.6333,0.8346,0.6333,0.8320,0.3667,0.8347,0.1000,0.8293,0.6000,0.8240,0.4000,0.8235,-8.6667,0.8213,0.1667,0.8280,0.0333,0.8320,0.0000,0.8400,0.0000,0.8227,0.0667,0.8320,0.0333,0.8320,0.0667,0.8280,0.1000,0.8240,0.1000,0.8280,0.0667,0
9.3750,0.78,0.8120,0.1333,0.8040,0.0667,0.8107,0.0667,0.8080,0.1000,0.8080,0.0333,0.8040,0.0667,0.8013,0.2000,0.8079,0.7000,0.8039,0.9000,0.8040,0.0333,0.8080,0.1333,0.8079,0.6000,0.7987,-0.6667,0.8041,-0.6000,0.8014,-0.6333,0.7959,0.7667,0.8039,0.8000,0.7999,0.5667,0.8053,0.1333,0.7999,0.8000,0.7959,0.6000,0.7928,-8.1000,0.7920,0.1333,0.7973,0.0000,0.8040,0.0333,0.8107,0.0000,0.7933,0.1000,0.8027,0.0667,0.8013,0.0333,0.7973,0.0333,0.7947,0.1000,0.8000,0.0667,0
10.0030,0.75,0.7800,0.1667,0.7747,0.0333,0.7787,0.1000,0.7760,0.1000,0.7800,0.0667,0.7720,0.0000,0.7707,0.1000,0.7759,0.8333,0.7719,1.0000,0.7760,0.0667,0.7773,0.1000,0.7773,0.7333,0.7680,-0.4333,0.7734,-0.4667,0.7720,-0.4000,0.7666,0.9000,0.7719,0.9000,0.7693,0.7333,0.7720,0.2000,0.7679,0.9667,0.7639,0.8000,0.7648,-7.5000,0.7600,0.2000,0.7680,0.0000,0.7733,0.0000,0.7800,0.0000,0.7627,0.1000,0.7720,0.1000,0.7707,0.0333,0.7680,0.1000,0.7640,0.1333,0.7680,0.1000,0
10.6320,0.72,0.7520,0.1333,0.7440,0.0667,0.7507,0.0667,0.7467,0.0667,0.7493,0.0667,0.7440,-0.0667,0.7440,0.1333,0.7479,0.9667,0.7439,1.1000,0.7467,0.0667,0.7480,0.1000,0.7479,0.8333,0.7374,-0.2333,0.7480,-0.3000,0.7427,-0.2000,0.7359,1.0333,0.7439,1.0667,0.7399,0.9000,0.7440,0.2000,0.7399,1.0667,0.7359,0.9000,0.7340,-6.8667,0.7320,0.2000,0.7387,0.0000,0.7440,0.0333,0.7493,0.0000,0.7320,0.0333,0.7413,0.1000,0.7400,0.0000,0.7373,0.1000,0.7333,0.1667,0.7400,0.1000,0
11.2610,0.69,0.7227,0.1667,0.7160,0.0333,0.7227,0.1000,0.7200,0.1000,0.7200,0.0000,0.7120,-0.1000,0.7120,0.1667,0.7186,1.0333,0.7145,1.2000,0.7160,0.0333,0.7200,0.0333,0.7186,1.0000,0.7107,-0.1000,0.7160,-0.1000,0.7120,0.0000,0.7079,1.1000,0.7159,1.2000,0.7119,1.0000,0.7160,0.1667,0.7079,1.1667,0.7079,1.0333,0.7046,-6.3333,0.7040,0.1667,0.7080,0.0000,0.7133,0.0333,0.7200,0.0000,0.7040,0.1000,0.7120,0.1000,0.7120,0.0333,0.7080,0.0667,0.7053,0.1000,0.7080,0.0667,0
11.8880,0.66,0.6920,0.2000,0.6880,0.0333,0.6920,0.1000,0.6880,0.1000,0.6893,0.0333,0.6840,-0.0333,0.6840,0.1333,0.6879,1.1000,0.6865,1.2333,0.6853,0.0000,0.6907,0.1000,0.6879,1.0667,0.6800,0.0333,0.6880,0.0000,0.6827,0.1000,0.6785,1.2333,0.6852,1.2667,0.6826,1.1000,0.6867,0.1000,0.6799,1.2000,0.6799,1.1000,0.6779,-5.8000,0.6733,0.1667,0.6800,0.0000,0.6840,0.0000,0.6907,0.0333,0.6760,0.1000,0.6827,0.1000,0.6840,0.0333,0.6800,0.0667,0.6760,0.1333,0.6800,0.0667,0
12.5170,0.63,0.6640,0.2000,0.6560,0.1000,0.6613,0.1000,0.6600,0.1000,0.6600,0.0000,0.6560,-0.0667,0.6560,0.1000,0.6599,1.2000,0.6559,1.3000,0.6560,0.0667,0.6587,0.1000,0.6599,1.1000,0.6520,-0.0333,0.6560,0.2000,0.6546,0.3000,0.6492,1.2667,0.6559,1.3333,0.6519,1.1667,0.6560,0.1000,0.6519,1.3000,0.6492,1.2000,0.6485,-5.3667,0.6453,0.1000,0.6520,0.0333,0.6560,0.0000,0.6600,0.0667,0.6440,0.1000,0.6547,0.1000,0.6533,0.0333,0.6493,0.0333,0.6480,0.1000,0.6520,0.1000,0
13.1450,0.60,0.6320,0.1000,0.6253,0.1000,0.6320,0.0667,0.6307,0.1000,0.6320,0.0000,0.6240,0.0000,0.6240,0.0667,0.6279,1.2333,0.6252,1.3000,0.6267,0.0667,0.6293,0.1000,0.6305,1.2000,0.6200,0.1333,0.6280,0.3000,0.6240,0.4000,0.6185,1.3000,0.6279,1.4000,0.6239,1.2000,0.6280,0.1000,0.6212,1.3667,0.6199,1.2333,0.6178,-4.8667,0.6160,0.0667,0.6213,0.0333,0.6267,0.0000,0.6293,0.1000,0.6147,0.0333,0.6240,0.1000,0.6240,0.0000,0.6187,0.0333,0.6160,0.1000,0.6227,0.1000,0
13.7730,0.57,0.6040,0.1000,0.5973,0.0667,0.6027,0.0667,0.6013,0.0333,0.6000,0.0000,0.5960,0.0000,0.5960,0.0000,0.5999,1.3000,0.5959,1.3333,0.5960,0.0333,0.6000,0.0333,0.5999,1.2667,0.5906,0.2667,0.5973,0.4000,0.5946,0.4667,0.5879,1.3000,0.5972,1.4000,0.5919,1.2667,0.5987,0.1000,0.5919,1.4000,0.5919,1.3333,0.5884,-4.4000,0.5867,0.0333,0.5920,0.0333,0.5960,0.0333,0.6000,0.0667,0.5840,0.0667,0.5920,0.0333,0.5947,0.0333,0.5893,0.0000,0.5880,0.0333,0.5920,0.1000,0
14.3990,0.54,0.5720,0.0333,0.5680,0.1000,0.5720,0.0333,0.5720,0.0667,0.5720,0.0000,0.5667,0.0000,0.5680,0.0333,0.5679,1.3000,0.5665,1.3333,0.5667,0.0333,0.5720,0.1000,0.5692,1.3000,0.5626,0.3667,0.5679,0.5667,0.5639,0.6000,0.5599,1.3667,0.5679,1.4667,0.5639,1.3000,0.5680,0.1000,0.5639,1.4000,0.5612,1.3333,0.5564,-3.8667,0.5560,0.0333,0.5640,0.0000,0.5680,0.0000,0.5720,0.0333,0.5560,0.0667,0.5640,0.0000,0.5667,0.0000,0.5600,0.0333,0.5600,0.0333,0.5640,0.0333,0
